id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL141999,JOSE,1999,10,17,18,00,9.8,-50.8,25,0
AL141999,JOSE,1999,10,18,00,00,10.3,-51.8,30,0
AL141999,JOSE,1999,10,18,06,00,10.9,-52.8,35,0
AL141999,JOSE,1999,10,18,12,00,11.5,-53.9,40,0
AL141999,JOSE,1999,10,18,18,00,12.2,-55.1,40,0
AL141999,JOSE,1999,10,19,00,00,12.9,-56.1,45,0
AL141999,JOSE,1999,10,19,06,00,13.5,-57.1,55,0
AL141999,JOSE,1999,10,19,12,00,14.1,-58.1,60,0
AL141999,JOSE,1999,10,19,18,00,14.9,-58.9,65,1
AL141999,JOSE,1999,10,20,00,00,15.7,-59.5,70,1
AL141999,JOSE,1999,10,20,06,00,16.3,-60.2,80,1
AL141999,JOSE,1999,10,20,12,00,16.8,-61.1,85,2
AL141999,JOSE,1999,10,20,16,00,17.1,-61.7,80,1
AL141999,JOSE,1999,10,20,18,00,17.2,-62,80,1
AL141999,JOSE,1999,10,21,00,00,17.6,-62.7,75,1
AL141999,JOSE,1999,10,21,06,00,18.1,-63.8,65,1
AL141999,JOSE,1999,10,21,11,05,18.4,-64.6,60,0
AL141999,JOSE,1999,10,21,12,00,18.5,-64.8,60,0
AL141999,JOSE,1999,10,21,18,00,19,-65.3,55,0
AL141999,JOSE,1999,10,22,00,00,19.4,-65.8,50,0
AL141999,JOSE,1999,10,22,06,00,19.9,-66.1,50,0
AL141999,JOSE,1999,10,22,12,00,20.5,-65.9,50,0
AL141999,JOSE,1999,10,22,18,00,21.1,-65.6,50,0
AL141999,JOSE,1999,10,23,00,00,22,-65.2,50,0
AL141999,JOSE,1999,10,23,06,00,23,-64.8,50,0
AL141999,JOSE,1999,10,23,12,00,24,-64.3,55,0
AL141999,JOSE,1999,10,23,18,00,25.2,-63.8,55,0
AL141999,JOSE,1999,10,24,00,00,26.6,-63.1,55,0
AL141999,JOSE,1999,10,24,06,00,28,-62.2,60,0
AL141999,JOSE,1999,10,24,12,00,29.7,-61.1,65,1
AL141999,JOSE,1999,10,24,18,00,32.2,-59.8,65,1
AL141999,JOSE,1999,10,25,00,00,34.9,-58.1,60,0
AL141999,JOSE,1999,10,25,06,00,37.9,-55.8,55,0
AL141999,JOSE,1999,10,25,12,00,40,-51.8,50,0
