id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL132000,ISAAC,2000,09,21,12,00,11.5,-23,30,0
AL132000,ISAAC,2000,09,21,18,00,11.9,-24.5,30,0
AL132000,ISAAC,2000,09,22,00,00,12.3,-25.9,35,0
AL132000,ISAAC,2000,09,22,06,00,12.7,-27.2,40,0
AL132000,ISAAC,2000,09,22,12,00,13.1,-28.7,45,0
AL132000,ISAAC,2000,09,22,18,00,13.5,-30.1,45,0
AL132000,ISAAC,2000,09,23,00,00,13.7,-31.2,50,0
AL132000,ISAAC,2000,09,23,06,00,13.9,-32.3,55,0
AL132000,ISAAC,2000,09,23,12,00,14.3,-33.2,70,1
AL132000,ISAAC,2000,09,23,18,00,14.6,-34.2,85,2
AL132000,ISAAC,2000,09,24,00,00,14.9,-35,105,3
AL132000,ISAAC,2000,09,24,06,00,15.1,-35.8,100,3
AL132000,ISAAC,2000,09,24,12,00,15.5,-36.8,100,3
AL132000,ISAAC,2000,09,24,18,00,15.8,-37.8,100,3
AL132000,ISAAC,2000,09,25,00,00,16.3,-38.6,95,2
AL132000,ISAAC,2000,09,25,06,00,16.7,-39.5,95,2
AL132000,ISAAC,2000,09,25,12,00,17.2,-40.4,90,2
AL132000,ISAAC,2000,09,25,18,00,17.6,-41.2,90,2
AL132000,ISAAC,2000,09,26,00,00,17.9,-42,90,2
AL132000,ISAAC,2000,09,26,06,00,18.3,-42.9,85,2
AL132000,ISAAC,2000,09,26,12,00,18.6,-43.9,75,1
AL132000,ISAAC,2000,09,26,18,00,19.1,-45,75,1
AL132000,ISAAC,2000,09,27,00,00,19.6,-46,80,1
AL132000,ISAAC,2000,09,27,06,00,20.4,-47,85,2
AL132000,ISAAC,2000,09,27,12,00,21,-48.1,90,2
AL132000,ISAAC,2000,09,27,18,00,21.9,-49.5,95,2
AL132000,ISAAC,2000,09,28,00,00,22.8,-50.6,100,3
AL132000,ISAAC,2000,09,28,06,00,23.8,-52,105,3
AL132000,ISAAC,2000,09,28,12,00,25,-52.9,110,3
AL132000,ISAAC,2000,09,28,18,00,26.6,-54.2,120,4
AL132000,ISAAC,2000,09,29,00,00,28,-55.1,115,4
AL132000,ISAAC,2000,09,29,06,00,29.7,-55.9,110,3
AL132000,ISAAC,2000,09,29,12,00,31.2,-56.2,105,3
AL132000,ISAAC,2000,09,29,18,00,32.9,-55.9,90,2
AL132000,ISAAC,2000,09,30,00,00,34.4,-55.2,85,2
AL132000,ISAAC,2000,09,30,06,00,35.7,-54,80,1
AL132000,ISAAC,2000,09,30,12,00,37,-51.8,75,1
AL132000,ISAAC,2000,09,30,18,00,38.3,-49.8,70,1
AL132000,ISAAC,2000,10,01,00,00,39.7,-47.9,65,1
AL132000,ISAAC,2000,10,01,06,00,40.9,-45.7,60,0
AL132000,ISAAC,2000,10,01,12,00,42.1,-43.6,55,0
AL132000,ISAAC,2000,10,01,18,00,43.5,-39.5,55,0
AL132000,ISAAC,2000,10,02,00,00,44.5,-36.5,55,0
AL132000,ISAAC,2000,10,02,06,00,45.7,-33,60,0
AL132000,ISAAC,2000,10,02,12,00,47,-29,60,0
AL132000,ISAAC,2000,10,02,18,00,48.5,-25,60,0
AL132000,ISAAC,2000,10,03,00,00,49.5,-20.5,60,0
AL132000,ISAAC,2000,10,03,06,00,50.5,-16.5,60,0
AL132000,ISAAC,2000,10,03,12,00,52,-12,55,0
AL132000,ISAAC,2000,10,03,18,00,55,-9,45,0
AL132000,ISAAC,2000,10,04,00,00,58,-6,45,0
AL132000,ISAAC,2000,10,04,06,00,62,-4,45,0
