id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL012010,ALEX,2010,06,24,18,00,15.9,-82,25,0
AL012010,ALEX,2010,06,25,00,00,16,-82.1,25,0
AL012010,ALEX,2010,06,25,06,00,16.1,-82.3,25,0
AL012010,ALEX,2010,06,25,12,00,16.2,-82.5,30,0
AL012010,ALEX,2010,06,25,18,00,16.4,-83.1,30,0
AL012010,ALEX,2010,06,26,00,00,16.6,-83.9,30,0
AL012010,ALEX,2010,06,26,06,00,16.7,-84.9,40,0
AL012010,ALEX,2010,06,26,12,00,16.9,-86.1,40,0
AL012010,ALEX,2010,06,26,18,00,17.2,-87.2,55,0
AL012010,ALEX,2010,06,27,00,00,17.5,-88.2,55,0
AL012010,ALEX,2010,06,27,06,00,18,-89.1,55,0
AL012010,ALEX,2010,06,27,12,00,18.5,-90,45,0
AL012010,ALEX,2010,06,27,18,00,18.9,-90.7,35,0
AL012010,ALEX,2010,06,28,00,00,19.2,-91.1,40,0
AL012010,ALEX,2010,06,28,06,00,19.5,-91.4,40,0
AL012010,ALEX,2010,06,28,12,00,20,-91.6,50,0
AL012010,ALEX,2010,06,28,18,00,20.3,-91.7,50,0
AL012010,ALEX,2010,06,29,00,00,20.7,-91.7,55,0
AL012010,ALEX,2010,06,29,06,00,21.5,-91.9,55,0
AL012010,ALEX,2010,06,29,12,00,22.4,-92.7,60,0
AL012010,ALEX,2010,06,29,18,00,22.9,-93.6,60,0
AL012010,ALEX,2010,06,30,00,00,23,-94.4,65,1
AL012010,ALEX,2010,06,30,06,00,23.1,-94.8,70,1
AL012010,ALEX,2010,06,30,12,00,23.5,-95.2,75,1
AL012010,ALEX,2010,06,30,15,00,24,-95.5,75,1
AL012010,ALEX,2010,06,30,18,00,24.3,-96.2,80,1
AL012010,ALEX,2010,07,01,00,00,24.3,-97.3,90,2
AL012010,ALEX,2010,07,01,02,00,24.2,-97.7,95,2
AL012010,ALEX,2010,07,01,06,00,24.1,-98.4,75,1
AL012010,ALEX,2010,07,01,12,00,23.5,-99.5,60,0
AL012010,ALEX,2010,07,01,18,00,23.1,-100.7,40,0
AL012010,ALEX,2010,07,02,00,00,23.2,-101.9,30,0
