id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL042004,DANIELLE,2004,08,13,12,00,12.3,-21.8,30,0
AL042004,DANIELLE,2004,08,13,18,00,12.4,-23,30,0
AL042004,DANIELLE,2004,08,14,00,00,12.6,-24.2,35,0
AL042004,DANIELLE,2004,08,14,06,00,12.9,-25.5,40,0
AL042004,DANIELLE,2004,08,14,12,00,13.2,-26.8,45,0
AL042004,DANIELLE,2004,08,14,18,00,13.5,-28.1,55,0
AL042004,DANIELLE,2004,08,15,00,00,13.8,-29.3,65,1
AL042004,DANIELLE,2004,08,15,06,00,14.1,-30.8,75,1
AL042004,DANIELLE,2004,08,15,12,00,14.7,-32.1,80,1
AL042004,DANIELLE,2004,08,15,18,00,15.2,-33.5,85,2
AL042004,DANIELLE,2004,08,16,00,00,16,-34.8,90,2
AL042004,DANIELLE,2004,08,16,06,00,16.8,-36,90,2
AL042004,DANIELLE,2004,08,16,12,00,17.7,-37.2,90,2
AL042004,DANIELLE,2004,08,16,18,00,19,-38.2,95,2
AL042004,DANIELLE,2004,08,17,00,00,20.3,-38.9,95,2
AL042004,DANIELLE,2004,08,17,06,00,21.7,-39.6,90,2
AL042004,DANIELLE,2004,08,17,12,00,23.3,-40,90,2
AL042004,DANIELLE,2004,08,17,18,00,24.6,-40.3,85,2
AL042004,DANIELLE,2004,08,18,00,00,25.9,-40.6,75,1
AL042004,DANIELLE,2004,08,18,06,00,27.3,-40.3,65,1
AL042004,DANIELLE,2004,08,18,12,00,28.1,-39.8,55,0
AL042004,DANIELLE,2004,08,18,18,00,28.9,-38.9,45,0
AL042004,DANIELLE,2004,08,19,00,00,29.3,-37.8,40,0
AL042004,DANIELLE,2004,08,19,06,00,29.7,-37.7,40,0
AL042004,DANIELLE,2004,08,19,12,00,29.9,-37.7,35,0
AL042004,DANIELLE,2004,08,19,18,00,29.9,-37.2,35,0
AL042004,DANIELLE,2004,08,20,00,00,29.8,-36.8,35,0
AL042004,DANIELLE,2004,08,20,06,00,30.2,-37,35,0
AL042004,DANIELLE,2004,08,20,12,00,30.5,-37.2,35,0
AL042004,DANIELLE,2004,08,20,18,00,30.9,-37.6,30,0
AL042004,DANIELLE,2004,08,21,00,00,30.9,-38,30,0
AL042004,DANIELLE,2004,08,21,06,00,30.6,-38.6,30,0
AL042004,DANIELLE,2004,08,21,12,00,30.7,-38.9,25,0
AL042004,DANIELLE,2004,08,21,18,00,30.5,-39.2,25,0
AL042004,DANIELLE,2004,08,22,00,00,30.3,-39.8,25,0
AL042004,DANIELLE,2004,08,22,06,00,30.2,-40.3,25,0
AL042004,DANIELLE,2004,08,22,12,00,30.3,-40.8,25,0
AL042004,DANIELLE,2004,08,22,18,00,30.4,-41.2,25,0
AL042004,DANIELLE,2004,08,23,00,00,30.8,-42,25,0
AL042004,DANIELLE,2004,08,23,06,00,31.7,-42.5,25,0
AL042004,DANIELLE,2004,08,23,12,00,32.3,-43.3,25,0
AL042004,DANIELLE,2004,08,23,18,00,33.1,-43.8,25,0
AL042004,DANIELLE,2004,08,24,00,00,33.9,-44.2,20,0
AL042004,DANIELLE,2004,08,24,06,00,34.7,-44.6,20,0
AL042004,DANIELLE,2004,08,24,12,00,35.5,-45,20,0
AL042004,DANIELLE,2004,08,24,18,00,36.4,-45.2,20,0
