id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL132010,KARL,2010,09,13,18,00,16.3,-78.5,25,0
AL132010,KARL,2010,09,14,00,00,16.6,-79.8,25,0
AL132010,KARL,2010,09,14,06,00,17,-81.1,25,0
AL132010,KARL,2010,09,14,12,00,17.6,-82.3,30,0
AL132010,KARL,2010,09,14,18,00,18.1,-83.6,35,0
AL132010,KARL,2010,09,15,00,00,18.3,-85,40,0
AL132010,KARL,2010,09,15,06,00,18.3,-86.2,55,0
AL132010,KARL,2010,09,15,12,00,18.5,-87.6,55,0
AL132010,KARL,2010,09,15,12,45,18.5,-87.8,55,0
AL132010,KARL,2010,09,15,18,00,18.8,-88.8,45,0
AL132010,KARL,2010,09,16,00,00,19.2,-90.1,40,0
AL132010,KARL,2010,09,16,06,00,19.4,-91.1,45,0
AL132010,KARL,2010,09,16,12,00,19.6,-92.2,55,0
AL132010,KARL,2010,09,16,18,00,19.6,-93.3,70,1
AL132010,KARL,2010,09,17,00,00,19.7,-94.1,85,2
AL132010,KARL,2010,09,17,06,00,19.7,-94.9,95,2
AL132010,KARL,2010,09,17,12,00,19.6,-95.6,110,3
AL132010,KARL,2010,09,17,15,00,19.4,-96,110,3
AL132010,KARL,2010,09,17,16,45,19.3,-96.2,100,3
AL132010,KARL,2010,09,17,18,00,19.2,-96.4,90,2
AL132010,KARL,2010,09,18,00,00,18.7,-97.1,60,0
AL132010,KARL,2010,09,18,06,00,18.6,-97.4,25,0
