id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL031999,BRET,1999,08,18,18,00,19.5,-94.4,30,0
AL031999,BRET,1999,08,19,00,00,19.5,-94.5,30,0
AL031999,BRET,1999,08,19,06,00,19.6,-94.6,30,0
AL031999,BRET,1999,08,19,12,00,19.7,-94.6,30,0
AL031999,BRET,1999,08,19,18,00,19.8,-94.7,35,0
AL031999,BRET,1999,08,20,00,00,19.8,-94.7,40,0
AL031999,BRET,1999,08,20,06,00,20,-94.6,45,0
AL031999,BRET,1999,08,20,12,00,20.4,-94.5,50,0
AL031999,BRET,1999,08,20,18,00,21.2,-94.4,55,0
AL031999,BRET,1999,08,21,00,00,21.9,-94.5,65,1
AL031999,BRET,1999,08,21,06,00,22.5,-94.7,75,1
AL031999,BRET,1999,08,21,12,00,23.1,-94.9,80,1
AL031999,BRET,1999,08,21,18,00,23.8,-95,90,2
AL031999,BRET,1999,08,22,00,00,24.7,-95.1,120,4
AL031999,BRET,1999,08,22,06,00,25.5,-95.5,125,4
AL031999,BRET,1999,08,22,12,00,26.2,-96.1,125,4
AL031999,BRET,1999,08,22,18,00,26.6,-96.8,120,4
AL031999,BRET,1999,08,23,00,00,26.9,-97.4,100,3
AL031999,BRET,1999,08,23,06,00,27,-97.9,80,1
AL031999,BRET,1999,08,23,12,00,27.3,-98.3,60,0
AL031999,BRET,1999,08,23,18,00,27.6,-98.8,35,0
AL031999,BRET,1999,08,24,00,00,28,-99.5,30,0
AL031999,BRET,1999,08,24,06,00,28,-100.4,30,0
AL031999,BRET,1999,08,24,12,00,27.8,-101.3,25,0
AL031999,BRET,1999,08,24,18,00,27.7,-102.1,25,0
AL031999,BRET,1999,08,25,00,00,27.6,-103,20,0
