id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL272005,BETA,2005,10,26,18,00,10.4,-80.9,30,0
AL272005,BETA,2005,10,27,00,00,10.7,-81.1,30,0
AL272005,BETA,2005,10,27,06,00,11,-81.3,35,0
AL272005,BETA,2005,10,27,12,00,11.3,-81.3,45,0
AL272005,BETA,2005,10,27,18,00,11.6,-81.3,50,0
AL272005,BETA,2005,10,28,00,00,11.9,-81.2,50,0
AL272005,BETA,2005,10,28,06,00,12.3,-81.1,50,0
AL272005,BETA,2005,10,28,12,00,12.8,-81,50,0
AL272005,BETA,2005,10,28,18,00,13.2,-81.1,50,0
AL272005,BETA,2005,10,29,00,00,13.4,-81.2,60,0
AL272005,BETA,2005,10,29,06,00,13.6,-81.4,70,1
AL272005,BETA,2005,10,29,12,00,13.7,-81.6,75,1
AL272005,BETA,2005,10,29,18,00,13.7,-82.1,75,1
AL272005,BETA,2005,10,30,00,00,13.6,-82.6,90,2
AL272005,BETA,2005,10,30,06,00,13.3,-83.1,100,3
AL272005,BETA,2005,10,30,12,00,12.9,-83.5,90,2
AL272005,BETA,2005,10,30,18,00,12.7,-84.1,55,0
AL272005,BETA,2005,10,31,00,00,12.7,-84.9,20,0
