id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL152005,NATE,2005,09,05,18,00,28.4,-67,30,0
AL152005,NATE,2005,09,06,00,00,28.4,-66.6,35,0
AL152005,NATE,2005,09,06,06,00,28.5,-66.5,40,0
AL152005,NATE,2005,09,06,12,00,28.5,-66.5,50,0
AL152005,NATE,2005,09,06,18,00,28.6,-66.4,50,0
AL152005,NATE,2005,09,07,00,00,28.7,-66.3,55,0
AL152005,NATE,2005,09,07,06,00,28.7,-66.3,60,0
AL152005,NATE,2005,09,07,12,00,28.9,-66.2,65,1
AL152005,NATE,2005,09,07,18,00,29.3,-66,70,1
AL152005,NATE,2005,09,08,00,00,29.6,-65.7,75,1
AL152005,NATE,2005,09,08,06,00,30,-65,75,1
AL152005,NATE,2005,09,08,12,00,30.5,-63.8,75,1
AL152005,NATE,2005,09,08,18,00,31.4,-62.7,75,1
AL152005,NATE,2005,09,09,00,00,32.6,-61.1,80,1
AL152005,NATE,2005,09,09,06,00,33.4,-59.1,70,1
AL152005,NATE,2005,09,09,12,00,34,-55.8,65,1
AL152005,NATE,2005,09,09,18,00,34.5,-53.4,55,0
AL152005,NATE,2005,09,10,00,00,34.7,-50.8,55,0
AL152005,NATE,2005,09,10,06,00,34.6,-49,45,0
AL152005,NATE,2005,09,10,12,00,34.5,-45.9,45,0
AL152005,NATE,2005,09,10,18,00,34.9,-44.1,45,0
AL152005,NATE,2005,09,11,00,00,35.2,-42.1,40,0
AL152005,NATE,2005,09,11,06,00,36,-40.6,40,0
AL152005,NATE,2005,09,11,12,00,37.4,-38.3,40,0
AL152005,NATE,2005,09,11,18,00,39.2,-35.6,40,0
AL152005,NATE,2005,09,12,00,00,41.6,-33.3,40,0
AL152005,NATE,2005,09,12,06,00,43.5,-32,35,0
AL152005,NATE,2005,09,12,12,00,44,-28.1,35,0
AL152005,NATE,2005,09,12,18,00,46,-25,35,0
