id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL122007,KAREN,2007,09,25,00,00,10,-35.9,30,0
AL122007,KAREN,2007,09,25,06,00,10.3,-37,35,0
AL122007,KAREN,2007,09,25,12,00,10.6,-38,35,0
AL122007,KAREN,2007,09,25,18,00,10.8,-39.2,35,0
AL122007,KAREN,2007,09,26,00,00,10.9,-40.4,40,0
AL122007,KAREN,2007,09,26,06,00,11.2,-41.5,50,0
AL122007,KAREN,2007,09,26,12,00,11.7,-42.4,65,1
AL122007,KAREN,2007,09,26,18,00,12.3,-43.3,65,1
AL122007,KAREN,2007,09,27,00,00,12.8,-44.6,60,0
AL122007,KAREN,2007,09,27,06,00,13.2,-45.7,55,0
AL122007,KAREN,2007,09,27,12,00,13.5,-46.8,55,0
AL122007,KAREN,2007,09,27,18,00,14.1,-47.9,50,0
AL122007,KAREN,2007,09,28,00,00,14.1,-48.8,50,0
AL122007,KAREN,2007,09,28,06,00,14.3,-49,40,0
AL122007,KAREN,2007,09,28,12,00,14.6,-49,35,0
AL122007,KAREN,2007,09,28,18,00,15.8,-49.4,35,0
AL122007,KAREN,2007,09,29,00,00,16.1,-51,35,0
AL122007,KAREN,2007,09,29,06,00,16.3,-52.6,30,0
AL122007,KAREN,2007,09,29,12,00,16.8,-54.2,30,0
