id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL142012,NADINE,2012,09,10,12,00,15.5,-38,25,0
AL142012,NADINE,2012,09,10,18,00,15.6,-39.4,25,0
AL142012,NADINE,2012,09,11,00,00,15.8,-40.8,25,0
AL142012,NADINE,2012,09,11,06,00,16,-41.9,25,0
AL142012,NADINE,2012,09,11,12,00,16.4,-42.8,30,0
AL142012,NADINE,2012,09,11,18,00,16.9,-43.7,30,0
AL142012,NADINE,2012,09,12,00,00,17.5,-44.8,35,0
AL142012,NADINE,2012,09,12,06,00,18.1,-45.9,45,0
AL142012,NADINE,2012,09,12,12,00,18.8,-47.1,50,0
AL142012,NADINE,2012,09,12,18,00,19.5,-48.3,55,0
AL142012,NADINE,2012,09,13,00,00,20.2,-49.5,60,0
AL142012,NADINE,2012,09,13,06,00,21,-50.6,60,0
AL142012,NADINE,2012,09,13,12,00,22,-51.7,60,0
AL142012,NADINE,2012,09,13,18,00,23.2,-52.6,60,0
AL142012,NADINE,2012,09,14,00,00,24.4,-53.4,60,0
AL142012,NADINE,2012,09,14,06,00,25.6,-54,60,0
AL142012,NADINE,2012,09,14,12,00,27,-54,60,0
AL142012,NADINE,2012,09,14,18,00,28.3,-53.7,65,1
AL142012,NADINE,2012,09,15,00,00,29.6,-53.3,70,1
AL142012,NADINE,2012,09,15,06,00,30.5,-52.2,70,1
AL142012,NADINE,2012,09,15,12,00,30.8,-50.7,70,1
AL142012,NADINE,2012,09,15,18,00,30.8,-49.1,70,1
AL142012,NADINE,2012,09,16,00,00,30.7,-47.5,70,1
AL142012,NADINE,2012,09,16,06,00,30.6,-45.4,65,1
AL142012,NADINE,2012,09,16,12,00,30.6,-43,65,1
AL142012,NADINE,2012,09,16,18,00,30.8,-40.6,65,1
AL142012,NADINE,2012,09,17,00,00,31.1,-38.8,60,0
AL142012,NADINE,2012,09,17,06,00,31.7,-37.1,60,0
AL142012,NADINE,2012,09,17,12,00,32.5,-35.9,55,0
AL142012,NADINE,2012,09,17,18,00,33.1,-35.1,55,0
AL142012,NADINE,2012,09,18,00,00,33.5,-34.5,50,0
AL142012,NADINE,2012,09,18,06,00,33.9,-33.9,50,0
AL142012,NADINE,2012,09,18,12,00,34.3,-33.3,50,0
AL142012,NADINE,2012,09,18,18,00,34.9,-32.7,50,0
AL142012,NADINE,2012,09,19,00,00,35.5,-32.3,50,0
AL142012,NADINE,2012,09,19,06,00,36.1,-32,50,0
AL142012,NADINE,2012,09,19,12,00,36.7,-32,50,0
AL142012,NADINE,2012,09,19,18,00,37.1,-32,50,0
AL142012,NADINE,2012,09,20,00,00,37.2,-31.6,50,0
AL142012,NADINE,2012,09,20,06,00,36.9,-30.9,50,0
AL142012,NADINE,2012,09,20,12,00,36.5,-30,50,0
AL142012,NADINE,2012,09,20,18,00,36.2,-29,55,0
AL142012,NADINE,2012,09,21,00,00,35.9,-28.2,55,0
AL142012,NADINE,2012,09,21,06,00,35.4,-27.4,55,0
AL142012,NADINE,2012,09,21,12,00,34.6,-27.3,50,0
AL142012,NADINE,2012,09,21,18,00,33.6,-27.2,50,0
AL142012,NADINE,2012,09,22,00,00,32.5,-26.9,45,0
AL142012,NADINE,2012,09,22,06,00,31.8,-26.7,45,0
AL142012,NADINE,2012,09,22,12,00,31,-26.4,45,0
AL142012,NADINE,2012,09,22,18,00,30.5,-26.2,45,0
AL142012,NADINE,2012,09,23,00,00,30.4,-25.9,45,0
AL142012,NADINE,2012,09,23,06,00,30.4,-25.6,50,0
AL142012,NADINE,2012,09,23,12,00,30.6,-25.4,50,0
AL142012,NADINE,2012,09,23,18,00,30.9,-25.8,50,0
AL142012,NADINE,2012,09,24,00,00,31.1,-26.2,45,0
AL142012,NADINE,2012,09,24,06,00,31.3,-26.7,45,0
AL142012,NADINE,2012,09,24,12,00,31.5,-27.4,45,0
AL142012,NADINE,2012,09,24,18,00,31.8,-28.1,45,0
AL142012,NADINE,2012,09,25,00,00,32.1,-28.8,40,0
AL142012,NADINE,2012,09,25,06,00,32.1,-29.5,40,0
AL142012,NADINE,2012,09,25,12,00,32,-29.9,40,0
AL142012,NADINE,2012,09,25,18,00,31.7,-30.1,40,0
AL142012,NADINE,2012,09,26,00,00,31.4,-30.3,40,0
AL142012,NADINE,2012,09,26,06,00,31.1,-30.4,40,0
AL142012,NADINE,2012,09,26,12,00,30.7,-30.5,45,0
AL142012,NADINE,2012,09,26,18,00,30.2,-30.7,50,0
AL142012,NADINE,2012,09,27,00,00,29.6,-31,50,0
AL142012,NADINE,2012,09,27,06,00,29.1,-31.4,50,0
AL142012,NADINE,2012,09,27,12,00,28.7,-31.9,50,0
AL142012,NADINE,2012,09,27,18,00,28.5,-32.5,55,0
AL142012,NADINE,2012,09,28,00,00,28.5,-33.2,55,0
AL142012,NADINE,2012,09,28,06,00,28.7,-33.9,60,0
AL142012,NADINE,2012,09,28,12,00,29.2,-34.4,65,1
AL142012,NADINE,2012,09,28,18,00,29.7,-34.8,65,1
AL142012,NADINE,2012,09,29,00,00,30.5,-35.3,65,1
AL142012,NADINE,2012,09,29,06,00,31.4,-35.7,65,1
AL142012,NADINE,2012,09,29,12,00,32.6,-36.1,65,1
AL142012,NADINE,2012,09,29,18,00,33.8,-36.6,70,1
AL142012,NADINE,2012,09,30,00,00,35,-37.1,75,1
AL142012,NADINE,2012,09,30,06,00,36,-37.6,75,1
AL142012,NADINE,2012,09,30,12,00,36.8,-38.3,80,1
AL142012,NADINE,2012,09,30,18,00,37.2,-38.9,80,1
AL142012,NADINE,2012,10,01,00,00,36.9,-39.4,75,1
AL142012,NADINE,2012,10,01,06,00,36.4,-39.4,65,1
AL142012,NADINE,2012,10,01,12,00,35.9,-39.4,60,0
AL142012,NADINE,2012,10,01,18,00,35.4,-39.4,55,0
AL142012,NADINE,2012,10,02,00,00,34.8,-39.1,55,0
AL142012,NADINE,2012,10,02,06,00,34.5,-38.5,55,0
AL142012,NADINE,2012,10,02,12,00,34.3,-37.9,55,0
AL142012,NADINE,2012,10,02,18,00,34.3,-37.1,55,0
AL142012,NADINE,2012,10,03,00,00,34.4,-36.2,50,0
AL142012,NADINE,2012,10,03,06,00,34.6,-35.3,45,0
AL142012,NADINE,2012,10,03,12,00,34.9,-34,45,0
AL142012,NADINE,2012,10,03,18,00,35.4,-32.5,40,0
AL142012,NADINE,2012,10,04,00,00,36.3,-30.9,40,0
AL142012,NADINE,2012,10,04,06,00,37.6,-29.1,40,0
