id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL062007,FELIX,2007,08,31,12,00,11.5,-56.6,25,0
AL062007,FELIX,2007,08,31,18,00,11.5,-58,30,0
AL062007,FELIX,2007,09,01,00,00,12.1,-59.4,35,0
AL062007,FELIX,2007,09,01,06,00,12.1,-61.1,40,0
AL062007,FELIX,2007,09,01,08,45,12.1,-61.7,45,0
AL062007,FELIX,2007,09,01,12,00,12.2,-62.8,50,0
AL062007,FELIX,2007,09,01,18,00,12.4,-64.5,60,0
AL062007,FELIX,2007,09,02,00,00,12.6,-66.1,65,1
AL062007,FELIX,2007,09,02,06,00,12.7,-67.8,85,2
AL062007,FELIX,2007,09,02,12,00,13,-69.4,90,2
AL062007,FELIX,2007,09,02,18,00,13.4,-71.1,115,4
AL062007,FELIX,2007,09,03,00,00,13.8,-73,150,5
AL062007,FELIX,2007,09,03,06,00,14,-75,150,5
AL062007,FELIX,2007,09,03,07,00,14,-75.3,150,5
AL062007,FELIX,2007,09,03,12,00,14.2,-76.9,140,5
AL062007,FELIX,2007,09,03,18,00,14.3,-78.7,115,4
AL062007,FELIX,2007,09,04,00,00,14.4,-80.4,115,4
AL062007,FELIX,2007,09,04,06,00,14.3,-81.9,135,4
AL062007,FELIX,2007,09,04,12,00,14.3,-83.2,140,5
AL062007,FELIX,2007,09,04,18,00,14.3,-84.4,85,2
AL062007,FELIX,2007,09,05,00,00,14.6,-85.4,50,0
AL062007,FELIX,2007,09,05,06,00,15,-86.4,25,0
AL062007,FELIX,2007,09,05,12,00,15.5,-87.3,20,0
AL062007,FELIX,2007,09,05,18,00,16.1,-88.3,20,0
AL062007,FELIX,2007,09,06,00,00,16.5,-89.5,20,0
AL062007,FELIX,2007,09,06,06,00,16.7,-90.8,20,0
AL062007,FELIX,2007,09,06,12,00,17.2,-92.4,20,0
AL062007,FELIX,2007,09,06,18,00,17.7,-93.8,15,0
