id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL162003,KATE,2003,09,25,18,00,11.8,-37.7,30,0
AL162003,KATE,2003,09,26,00,00,12.8,-38.5,30,0
AL162003,KATE,2003,09,26,06,00,14,-39.4,30,0
AL162003,KATE,2003,09,26,12,00,15.2,-40.2,30,0
AL162003,KATE,2003,09,26,18,00,16.6,-41,30,0
AL162003,KATE,2003,09,27,00,00,18,-41.8,30,0
AL162003,KATE,2003,09,27,06,00,19.2,-43,30,0
AL162003,KATE,2003,09,27,12,00,20,-43.8,30,0
AL162003,KATE,2003,09,27,18,00,21,-44.2,35,0
AL162003,KATE,2003,09,28,00,00,22,-44.5,45,0
AL162003,KATE,2003,09,28,06,00,23,-44.3,50,0
AL162003,KATE,2003,09,28,12,00,23.9,-43.6,50,0
AL162003,KATE,2003,09,28,18,00,24.8,-42.6,50,0
AL162003,KATE,2003,09,29,00,00,26.1,-41.3,50,0
AL162003,KATE,2003,09,29,06,00,27.2,-39.9,55,0
AL162003,KATE,2003,09,29,12,00,28.3,-38.2,55,0
AL162003,KATE,2003,09,29,18,00,29.2,-36.8,65,1
AL162003,KATE,2003,09,30,00,00,30,-35.4,65,1
AL162003,KATE,2003,09,30,06,00,30.8,-34.8,55,0
AL162003,KATE,2003,09,30,12,00,31.8,-35.1,55,0
AL162003,KATE,2003,09,30,18,00,32.6,-36,50,0
AL162003,KATE,2003,10,01,00,00,32.5,-37.1,50,0
AL162003,KATE,2003,10,01,06,00,32.4,-38.3,50,0
AL162003,KATE,2003,10,01,12,00,32.2,-39.6,55,0
AL162003,KATE,2003,10,01,18,00,31.7,-40.9,65,1
AL162003,KATE,2003,10,02,00,00,31.1,-42.1,65,1
AL162003,KATE,2003,10,02,06,00,30.3,-43,75,1
AL162003,KATE,2003,10,02,12,00,30.1,-43.6,75,1
AL162003,KATE,2003,10,02,18,00,29.9,-44.7,80,1
AL162003,KATE,2003,10,03,00,00,29.6,-45.8,80,1
AL162003,KATE,2003,10,03,06,00,29.4,-46.9,90,2
AL162003,KATE,2003,10,03,12,00,29.4,-47.8,90,2
AL162003,KATE,2003,10,03,18,00,29.6,-49.1,100,3
AL162003,KATE,2003,10,04,00,00,29.9,-50.3,100,3
AL162003,KATE,2003,10,04,06,00,30.1,-51.6,100,3
AL162003,KATE,2003,10,04,12,00,30.1,-52.8,105,3
AL162003,KATE,2003,10,04,18,00,30.2,-54,110,3
AL162003,KATE,2003,10,05,00,00,30.3,-54.7,100,3
AL162003,KATE,2003,10,05,06,00,30.4,-55.5,95,2
AL162003,KATE,2003,10,05,12,00,30.7,-56.1,90,2
AL162003,KATE,2003,10,05,18,00,31.4,-56.4,85,2
AL162003,KATE,2003,10,06,00,00,32.3,-56.2,80,1
AL162003,KATE,2003,10,06,06,00,33.5,-56,80,1
AL162003,KATE,2003,10,06,12,00,35.2,-55.6,75,1
AL162003,KATE,2003,10,06,18,00,36.9,-55,70,1
AL162003,KATE,2003,10,07,00,00,38.6,-54,65,1
AL162003,KATE,2003,10,07,06,00,40.5,-52.1,60,0
AL162003,KATE,2003,10,07,12,00,43.8,-49.5,60,0
AL162003,KATE,2003,10,07,18,00,47.5,-47.2,60,0
AL162003,KATE,2003,10,08,00,00,52,-44,60,0
AL162003,KATE,2003,10,08,06,00,56.5,-40.5,65,1
AL162003,KATE,2003,10,08,12,00,59.5,-37,65,1
AL162003,KATE,2003,10,08,18,00,61.1,-33.4,65,1
AL162003,KATE,2003,10,09,00,00,62.1,-28.7,60,0
AL162003,KATE,2003,10,09,06,00,62.5,-24,55,0
AL162003,KATE,2003,10,09,12,00,62.6,-19,55,0
AL162003,KATE,2003,10,09,18,00,62.5,-12.6,50,0
AL162003,KATE,2003,10,10,00,00,63,-6,50,0
