id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL052005,EMILY,2005,07,11,00,00,10.7,-42.4,25,0
AL052005,EMILY,2005,07,11,06,00,10.8,-43.4,30,0
AL052005,EMILY,2005,07,11,12,00,10.9,-44.4,30,0
AL052005,EMILY,2005,07,11,18,00,11,-45.4,30,0
AL052005,EMILY,2005,07,12,00,00,11,-46.8,35,0
AL052005,EMILY,2005,07,12,06,00,11,-48.5,40,0
AL052005,EMILY,2005,07,12,12,00,11,-50.2,45,0
AL052005,EMILY,2005,07,12,18,00,11,-52,45,0
AL052005,EMILY,2005,07,13,00,00,11,-53.7,45,0
AL052005,EMILY,2005,07,13,06,00,11.1,-55.4,45,0
AL052005,EMILY,2005,07,13,12,00,11.2,-57.2,50,0
AL052005,EMILY,2005,07,13,18,00,11.4,-58.9,55,0
AL052005,EMILY,2005,07,14,00,00,11.6,-60.2,70,1
AL052005,EMILY,2005,07,14,06,00,11.9,-61.5,75,1
AL052005,EMILY,2005,07,14,07,00,12,-61.8,75,1
AL052005,EMILY,2005,07,14,12,00,12.4,-63.2,85,2
AL052005,EMILY,2005,07,14,18,00,12.9,-64.9,100,3
AL052005,EMILY,2005,07,15,00,00,13.3,-66.7,110,3
AL052005,EMILY,2005,07,15,06,00,13.7,-68.4,115,4
AL052005,EMILY,2005,07,15,12,00,14.1,-70.1,115,4
AL052005,EMILY,2005,07,15,18,00,14.5,-71.8,95,2
AL052005,EMILY,2005,07,16,00,00,14.9,-73.4,110,3
AL052005,EMILY,2005,07,16,06,00,15.4,-75,120,4
AL052005,EMILY,2005,07,16,12,00,15.9,-76.5,130,4
AL052005,EMILY,2005,07,16,18,00,16.4,-78,135,4
AL052005,EMILY,2005,07,17,00,00,17.1,-79.5,140,5
AL052005,EMILY,2005,07,17,06,00,17.7,-81.2,135,4
AL052005,EMILY,2005,07,17,12,00,18.3,-82.8,130,4
AL052005,EMILY,2005,07,17,18,00,18.9,-84.3,125,4
AL052005,EMILY,2005,07,18,00,00,19.5,-85.8,120,4
AL052005,EMILY,2005,07,18,06,00,20.3,-87.3,115,4
AL052005,EMILY,2005,07,18,06,30,20.3,-87.4,115,4
AL052005,EMILY,2005,07,18,12,00,21.3,-88.9,65,1
AL052005,EMILY,2005,07,18,18,00,22,-90.3,65,1
AL052005,EMILY,2005,07,19,00,00,22.6,-91.5,75,1
AL052005,EMILY,2005,07,19,06,00,23.2,-92.8,80,1
AL052005,EMILY,2005,07,19,12,00,23.7,-94,80,1
AL052005,EMILY,2005,07,19,18,00,24.1,-95.1,85,2
AL052005,EMILY,2005,07,20,00,00,24.4,-96.1,110,3
AL052005,EMILY,2005,07,20,06,00,24.6,-96.9,110,3
AL052005,EMILY,2005,07,20,12,00,24.8,-97.6,110,3
AL052005,EMILY,2005,07,20,18,00,25,-98.7,70,1
AL052005,EMILY,2005,07,21,00,00,25,-99.7,45,0
AL052005,EMILY,2005,07,21,06,00,25,-100.5,30,0
AL052005,EMILY,2005,07,21,12,00,25,-101.1,25,0
