id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL172011,PHILIPPE,2011,09,23,00,00,8.3,-17.5,20,0
AL172011,PHILIPPE,2011,09,23,06,00,8.6,-19.1,20,0
AL172011,PHILIPPE,2011,09,23,12,00,9,-20.6,25,0
AL172011,PHILIPPE,2011,09,23,18,00,9.5,-22,25,0
AL172011,PHILIPPE,2011,09,24,00,00,10.4,-23.3,30,0
AL172011,PHILIPPE,2011,09,24,06,00,11,-24.7,30,0
AL172011,PHILIPPE,2011,09,24,12,00,11.1,-26.1,35,0
AL172011,PHILIPPE,2011,09,24,18,00,11.2,-27.3,35,0
AL172011,PHILIPPE,2011,09,25,00,00,11.5,-28.4,35,0
AL172011,PHILIPPE,2011,09,25,06,00,12.1,-29.4,40,0
AL172011,PHILIPPE,2011,09,25,12,00,12.7,-30.3,40,0
AL172011,PHILIPPE,2011,09,25,18,00,13.2,-31.2,45,0
AL172011,PHILIPPE,2011,09,26,00,00,13.8,-32.1,45,0
AL172011,PHILIPPE,2011,09,26,06,00,14.4,-33,45,0
AL172011,PHILIPPE,2011,09,26,12,00,14.9,-33.6,50,0
AL172011,PHILIPPE,2011,09,26,18,00,15.3,-34.1,50,0
AL172011,PHILIPPE,2011,09,27,00,00,15.4,-34.4,45,0
AL172011,PHILIPPE,2011,09,27,06,00,15.5,-34.7,45,0
AL172011,PHILIPPE,2011,09,27,12,00,15.6,-35.2,40,0
AL172011,PHILIPPE,2011,09,27,18,00,15.7,-35.8,35,0
AL172011,PHILIPPE,2011,09,28,00,00,15.8,-36.6,30,0
AL172011,PHILIPPE,2011,09,28,06,00,16,-37.4,30,0
AL172011,PHILIPPE,2011,09,28,12,00,16.2,-38.4,35,0
AL172011,PHILIPPE,2011,09,28,18,00,16.6,-39.4,40,0
AL172011,PHILIPPE,2011,09,29,00,00,17.1,-40.5,40,0
AL172011,PHILIPPE,2011,09,29,06,00,17.8,-41.5,45,0
AL172011,PHILIPPE,2011,09,29,12,00,18.7,-42.3,45,0
AL172011,PHILIPPE,2011,09,29,18,00,19.7,-43,45,0
AL172011,PHILIPPE,2011,09,30,00,00,20.7,-43.6,40,0
AL172011,PHILIPPE,2011,09,30,06,00,21.7,-44.2,40,0
AL172011,PHILIPPE,2011,09,30,12,00,22.5,-44.8,45,0
AL172011,PHILIPPE,2011,09,30,18,00,23.2,-45.6,45,0
AL172011,PHILIPPE,2011,10,01,00,00,23.8,-46.3,50,0
AL172011,PHILIPPE,2011,10,01,06,00,24.1,-47,55,0
AL172011,PHILIPPE,2011,10,01,12,00,24.4,-47.6,60,0
AL172011,PHILIPPE,2011,10,01,18,00,24.8,-48.4,60,0
AL172011,PHILIPPE,2011,10,02,00,00,25.2,-49.3,60,0
AL172011,PHILIPPE,2011,10,02,06,00,25.8,-50.3,50,0
AL172011,PHILIPPE,2011,10,02,12,00,26.2,-51.2,40,0
AL172011,PHILIPPE,2011,10,02,18,00,26.3,-52.3,40,0
AL172011,PHILIPPE,2011,10,03,00,00,26.2,-53.2,45,0
AL172011,PHILIPPE,2011,10,03,06,00,25.6,-54,50,0
AL172011,PHILIPPE,2011,10,03,12,00,24.9,-54.8,55,0
AL172011,PHILIPPE,2011,10,03,18,00,24.3,-55.6,60,0
AL172011,PHILIPPE,2011,10,04,00,00,23.8,-56.6,65,1
AL172011,PHILIPPE,2011,10,04,06,00,23.7,-57.7,65,1
AL172011,PHILIPPE,2011,10,04,12,00,23.8,-58.7,60,0
AL172011,PHILIPPE,2011,10,04,18,00,24,-59.6,60,0
AL172011,PHILIPPE,2011,10,05,00,00,24.3,-60.2,60,0
AL172011,PHILIPPE,2011,10,05,06,00,24.7,-60.7,60,0
AL172011,PHILIPPE,2011,10,05,12,00,25.2,-61,55,0
AL172011,PHILIPPE,2011,10,05,18,00,25.5,-61.1,55,0
AL172011,PHILIPPE,2011,10,06,00,00,25.9,-61.1,60,0
AL172011,PHILIPPE,2011,10,06,06,00,26.5,-61,65,1
AL172011,PHILIPPE,2011,10,06,12,00,27.4,-60.4,70,1
AL172011,PHILIPPE,2011,10,06,18,00,28.2,-59.7,80,1
AL172011,PHILIPPE,2011,10,07,00,00,28.7,-58.8,80,1
AL172011,PHILIPPE,2011,10,07,06,00,29,-57.7,80,1
AL172011,PHILIPPE,2011,10,07,12,00,29.3,-56.5,80,1
AL172011,PHILIPPE,2011,10,07,18,00,29.7,-55.1,70,1
AL172011,PHILIPPE,2011,10,08,00,00,30.1,-53.5,65,1
AL172011,PHILIPPE,2011,10,08,06,00,30.9,-51.4,60,0
AL172011,PHILIPPE,2011,10,08,12,00,32.3,-48.7,60,0
AL172011,PHILIPPE,2011,10,08,18,00,34.4,-46,50,0
AL172011,PHILIPPE,2011,10,09,00,00,37.5,-43.6,45,0
