id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL172001,OLGA,2001,11,23,06,00,30.5,-51,25,0
AL172001,OLGA,2001,11,23,12,00,30.2,-51,25,0
AL172001,OLGA,2001,11,23,18,00,29.7,-50.7,30,0
AL172001,OLGA,2001,11,24,00,00,29.3,-50.3,50,0
AL172001,OLGA,2001,11,24,06,00,29.3,-50,50,0
AL172001,OLGA,2001,11,24,12,00,29.5,-49.8,50,0
AL172001,OLGA,2001,11,24,18,00,30.3,-49.5,50,0
AL172001,OLGA,2001,11,25,00,00,31.3,-50.6,50,0
AL172001,OLGA,2001,11,25,06,00,31.8,-52,50,0
AL172001,OLGA,2001,11,25,12,00,31.7,-53.5,55,0
AL172001,OLGA,2001,11,25,18,00,30.8,-55,60,0
AL172001,OLGA,2001,11,26,00,00,30.3,-55.3,60,0
AL172001,OLGA,2001,11,26,06,00,30.1,-55.6,60,0
AL172001,OLGA,2001,11,26,12,00,30.6,-55.9,65,1
AL172001,OLGA,2001,11,26,18,00,31.1,-56,65,1
AL172001,OLGA,2001,11,27,00,00,32.1,-56.2,75,1
AL172001,OLGA,2001,11,27,06,00,32.6,-57,80,1
AL172001,OLGA,2001,11,27,12,00,31.5,-57.2,80,1
AL172001,OLGA,2001,11,27,18,00,32,-56,75,1
AL172001,OLGA,2001,11,28,00,00,32.3,-55.8,75,1
AL172001,OLGA,2001,11,28,06,00,32.6,-55.7,75,1
AL172001,OLGA,2001,11,28,12,00,32.4,-56.2,75,1
AL172001,OLGA,2001,11,28,18,00,31.4,-57,70,1
AL172001,OLGA,2001,11,29,00,00,30.3,-57.6,65,1
AL172001,OLGA,2001,11,29,06,00,29.3,-58.7,60,0
AL172001,OLGA,2001,11,29,12,00,28.4,-60.1,60,0
AL172001,OLGA,2001,11,29,18,00,27.3,-61.8,55,0
AL172001,OLGA,2001,11,30,00,00,26.2,-63.2,45,0
AL172001,OLGA,2001,11,30,06,00,25.3,-64.7,35,0
AL172001,OLGA,2001,11,30,12,00,24.5,-66.2,30,0
AL172001,OLGA,2001,11,30,18,00,23.7,-67.1,30,0
AL172001,OLGA,2001,12,01,00,00,23.4,-67.7,30,0
AL172001,OLGA,2001,12,01,06,00,23.1,-68,30,0
AL172001,OLGA,2001,12,01,12,00,22.8,-68.3,30,0
AL172001,OLGA,2001,12,01,18,00,23,-68.6,30,0
AL172001,OLGA,2001,12,02,00,00,23.4,-68.9,35,0
AL172001,OLGA,2001,12,02,06,00,24.3,-68.9,35,0
AL172001,OLGA,2001,12,02,12,00,25.5,-69.2,40,0
AL172001,OLGA,2001,12,02,18,00,26.4,-69.5,40,0
AL172001,OLGA,2001,12,03,00,00,27,-69.7,35,0
AL172001,OLGA,2001,12,03,06,00,27.4,-69.9,35,0
AL172001,OLGA,2001,12,03,12,00,27.8,-69.9,35,0
AL172001,OLGA,2001,12,03,18,00,27.7,-69.6,35,0
AL172001,OLGA,2001,12,04,00,00,27.7,-69.1,30,0
AL172001,OLGA,2001,12,04,06,00,27.8,-68.2,30,0
AL172001,OLGA,2001,12,04,12,00,27.8,-68,30,0
AL172001,OLGA,2001,12,04,18,00,27,-67.4,30,0
