id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL152003,JUAN,2003,09,24,12,00,28.2,-62.4,25,0
AL152003,JUAN,2003,09,24,18,00,28.3,-62.2,30,0
AL152003,JUAN,2003,09,25,00,00,28.4,-62,35,0
AL152003,JUAN,2003,09,25,06,00,28.8,-61.7,40,0
AL152003,JUAN,2003,09,25,12,00,29.2,-61.4,45,0
AL152003,JUAN,2003,09,25,18,00,30.4,-61.6,50,0
AL152003,JUAN,2003,09,26,00,00,30.9,-61.8,55,0
AL152003,JUAN,2003,09,26,06,00,31.1,-61.8,60,0
AL152003,JUAN,2003,09,26,12,00,31.8,-62,65,1
AL152003,JUAN,2003,09,26,18,00,32.5,-62,70,1
AL152003,JUAN,2003,09,27,00,00,33.3,-62,75,1
AL152003,JUAN,2003,09,27,06,00,34.4,-62.2,75,1
AL152003,JUAN,2003,09,27,12,00,35.2,-62.8,75,1
AL152003,JUAN,2003,09,27,18,00,35.5,-63.2,90,2
AL152003,JUAN,2003,09,28,00,00,36.3,-63.6,90,2
AL152003,JUAN,2003,09,28,06,00,37.1,-64,90,2
AL152003,JUAN,2003,09,28,12,00,38.5,-64.1,90,2
AL152003,JUAN,2003,09,28,18,00,40.2,-64.1,90,2
AL152003,JUAN,2003,09,29,00,00,42.8,-63.9,85,2
AL152003,JUAN,2003,09,29,03,00,44.4,-63.8,85,2
AL152003,JUAN,2003,09,29,06,00,46,-63.8,65,1
AL152003,JUAN,2003,09,29,12,00,49.8,-62.4,45,0
