id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL051999,DENNIS,1999,08,24,00,00,21.5,-67.7,30,0
AL051999,DENNIS,1999,08,24,06,00,22,-68.9,30,0
AL051999,DENNIS,1999,08,24,12,00,22.4,-70,35,0
AL051999,DENNIS,1999,08,24,18,00,22.7,-70.9,40,0
AL051999,DENNIS,1999,08,25,00,00,22.8,-71.5,40,0
AL051999,DENNIS,1999,08,25,06,00,23,-71.9,40,0
AL051999,DENNIS,1999,08,25,12,00,23.2,-72.1,45,0
AL051999,DENNIS,1999,08,25,18,00,23.4,-72.3,55,0
AL051999,DENNIS,1999,08,26,00,00,23.6,-72.5,60,0
AL051999,DENNIS,1999,08,26,06,00,23.8,-73.1,65,1
AL051999,DENNIS,1999,08,26,12,00,24.1,-73.6,65,1
AL051999,DENNIS,1999,08,26,18,00,24.4,-74,70,1
AL051999,DENNIS,1999,08,27,00,00,24.8,-74.4,65,1
AL051999,DENNIS,1999,08,27,06,00,25.2,-75,65,1
AL051999,DENNIS,1999,08,27,12,00,25.6,-75.5,65,1
AL051999,DENNIS,1999,08,27,18,00,25.9,-75.9,65,1
AL051999,DENNIS,1999,08,28,00,00,26.1,-76.2,70,1
AL051999,DENNIS,1999,08,28,06,00,26.5,-76.7,75,1
AL051999,DENNIS,1999,08,28,07,00,26.6,-76.8,75,1
AL051999,DENNIS,1999,08,28,12,00,27.1,-77,85,2
AL051999,DENNIS,1999,08,28,18,00,27.7,-77.3,90,2
AL051999,DENNIS,1999,08,29,00,00,28.3,-77.7,90,2
AL051999,DENNIS,1999,08,29,06,00,29,-77.9,90,2
AL051999,DENNIS,1999,08,29,12,00,29.9,-78.4,90,2
AL051999,DENNIS,1999,08,29,18,00,30.8,-78.4,90,2
AL051999,DENNIS,1999,08,30,00,00,31.9,-78.1,90,2
AL051999,DENNIS,1999,08,30,06,00,32.8,-77.6,90,2
AL051999,DENNIS,1999,08,30,12,00,33.6,-76.5,85,2
AL051999,DENNIS,1999,08,30,18,00,34.3,-74.8,85,2
AL051999,DENNIS,1999,08,31,00,00,34.9,-73.6,80,1
AL051999,DENNIS,1999,08,31,06,00,35.1,-72.9,80,1
AL051999,DENNIS,1999,08,31,12,00,35.2,-72.8,75,1
AL051999,DENNIS,1999,08,31,18,00,35.1,-73.3,70,1
AL051999,DENNIS,1999,09,01,00,00,35.2,-73.6,60,0
AL051999,DENNIS,1999,09,01,06,00,35,-73.4,55,0
AL051999,DENNIS,1999,09,01,12,00,35.4,-73.5,50,0
AL051999,DENNIS,1999,09,01,18,00,35.5,-73.8,50,0
AL051999,DENNIS,1999,09,02,00,00,35.4,-73.7,50,0
AL051999,DENNIS,1999,09,02,06,00,35.2,-73.6,45,0
AL051999,DENNIS,1999,09,02,12,00,35.1,-73.7,45,0
AL051999,DENNIS,1999,09,02,18,00,34.8,-73.9,45,0
AL051999,DENNIS,1999,09,03,00,00,34.2,-74,45,0
AL051999,DENNIS,1999,09,03,06,00,33.6,-74.1,45,0
AL051999,DENNIS,1999,09,03,12,00,33.2,-73.9,45,0
AL051999,DENNIS,1999,09,03,18,00,33,-73.8,50,0
AL051999,DENNIS,1999,09,04,00,00,33.1,-74,50,0
AL051999,DENNIS,1999,09,04,06,00,33.3,-74.5,55,0
AL051999,DENNIS,1999,09,04,12,00,33.9,-75.3,55,0
AL051999,DENNIS,1999,09,04,18,00,34.5,-76,60,0
AL051999,DENNIS,1999,09,04,21,00,34.8,-76.5,60,0
AL051999,DENNIS,1999,09,05,00,00,35,-76.8,50,0
AL051999,DENNIS,1999,09,05,06,00,35.5,-77.7,35,0
AL051999,DENNIS,1999,09,05,12,00,36.1,-78.8,30,0
AL051999,DENNIS,1999,09,05,18,00,36.2,-79.4,25,0
AL051999,DENNIS,1999,09,06,00,00,36.2,-79.9,25,0
AL051999,DENNIS,1999,09,06,06,00,36.4,-80.1,20,0
AL051999,DENNIS,1999,09,06,12,00,37,-79.9,20,0
AL051999,DENNIS,1999,09,06,18,00,37.7,-79.5,20,0
AL051999,DENNIS,1999,09,07,00,00,38.5,-78.5,20,0
AL051999,DENNIS,1999,09,07,06,00,40.8,-77,20,0
AL051999,DENNIS,1999,09,07,12,00,42.7,-77.7,20,0
AL051999,DENNIS,1999,09,07,18,00,43.5,-77.7,20,0
AL051999,DENNIS,1999,09,08,00,00,43.5,-76.5,20,0
AL051999,DENNIS,1999,09,08,06,00,44,-75.8,20,0
AL051999,DENNIS,1999,09,08,12,00,44.9,-74.8,20,0
AL051999,DENNIS,1999,09,08,18,00,45.5,-75.6,20,0
