id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL172000,MICHAEL,2000,10,15,12,00,30,-71.2,30,0
AL172000,MICHAEL,2000,10,15,18,00,30,-71.5,30,0
AL172000,MICHAEL,2000,10,16,00,00,29.9,-71.8,35,0
AL172000,MICHAEL,2000,10,16,06,00,29.9,-71.9,35,0
AL172000,MICHAEL,2000,10,16,12,00,29.7,-71.7,35,0
AL172000,MICHAEL,2000,10,16,18,00,29.8,-71.4,35,0
AL172000,MICHAEL,2000,10,17,00,00,29.9,-71.1,35,0
AL172000,MICHAEL,2000,10,17,06,00,29.8,-71,45,0
AL172000,MICHAEL,2000,10,17,12,00,29.8,-70.9,55,0
AL172000,MICHAEL,2000,10,17,18,00,30.1,-70.9,65,1
AL172000,MICHAEL,2000,10,18,00,00,30.4,-70.9,65,1
AL172000,MICHAEL,2000,10,18,06,00,30.8,-70.8,65,1
AL172000,MICHAEL,2000,10,18,12,00,31.5,-70.4,65,1
AL172000,MICHAEL,2000,10,18,18,00,32.6,-69.5,70,1
AL172000,MICHAEL,2000,10,19,00,00,34.2,-67.8,75,1
AL172000,MICHAEL,2000,10,19,06,00,36.3,-65.5,65,1
AL172000,MICHAEL,2000,10,19,12,00,39.8,-61.6,75,1
AL172000,MICHAEL,2000,10,19,18,00,44,-58.5,85,2
AL172000,MICHAEL,2000,10,20,00,00,48,-56.5,75,1
AL172000,MICHAEL,2000,10,20,06,00,50,-56,70,1
AL172000,MICHAEL,2000,10,20,12,00,51,-53.5,65,1
AL172000,MICHAEL,2000,10,20,18,00,52,-50.5,60,0
