id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL102006,ISAAC,2006,09,27,18,00,26.1,-52.6,30,0
AL102006,ISAAC,2006,09,28,00,00,26.8,-53.4,30,0
AL102006,ISAAC,2006,09,28,06,00,27.4,-54,35,0
AL102006,ISAAC,2006,09,28,12,00,28,-54.4,40,0
AL102006,ISAAC,2006,09,28,18,00,28.6,-54.6,40,0
AL102006,ISAAC,2006,09,29,00,00,28.9,-54.9,40,0
AL102006,ISAAC,2006,09,29,06,00,29,-55.4,40,0
AL102006,ISAAC,2006,09,29,12,00,29.2,-55.8,45,0
AL102006,ISAAC,2006,09,29,18,00,29.5,-56.5,50,0
AL102006,ISAAC,2006,09,30,00,00,29.8,-57.1,60,0
AL102006,ISAAC,2006,09,30,06,00,30.1,-57.7,60,0
AL102006,ISAAC,2006,09,30,12,00,30.6,-58.5,65,1
AL102006,ISAAC,2006,09,30,18,00,31.3,-59.2,70,1
AL102006,ISAAC,2006,10,01,00,00,32,-59.8,75,1
AL102006,ISAAC,2006,10,01,06,00,32.8,-60.2,75,1
AL102006,ISAAC,2006,10,01,12,00,33.8,-60.3,70,1
AL102006,ISAAC,2006,10,01,18,00,35.2,-60.3,70,1
AL102006,ISAAC,2006,10,02,00,00,37.2,-59.6,65,1
AL102006,ISAAC,2006,10,02,06,00,39.8,-58,65,1
AL102006,ISAAC,2006,10,02,12,00,42.5,-56.2,60,0
AL102006,ISAAC,2006,10,02,18,00,45.5,-53.7,55,0
AL102006,ISAAC,2006,10,03,00,00,47.6,-51,55,0
AL102006,ISAAC,2006,10,03,06,00,48.6,-49,45,0
AL102006,ISAAC,2006,10,03,12,00,49.5,-47,35,0
