id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL082002,GUSTAV,2002,09,08,12,00,29,-71,30,0
AL082002,GUSTAV,2002,09,08,18,00,30.2,-71.1,35,0
AL082002,GUSTAV,2002,09,09,00,00,30.5,-72.3,40,0
AL082002,GUSTAV,2002,09,09,06,00,31.2,-72.6,40,0
AL082002,GUSTAV,2002,09,09,12,00,31.6,-73.6,40,0
AL082002,GUSTAV,2002,09,09,18,00,31.9,-74.5,40,0
AL082002,GUSTAV,2002,09,10,00,00,32.1,-75.5,45,0
AL082002,GUSTAV,2002,09,10,06,00,33,-75.5,50,0
AL082002,GUSTAV,2002,09,10,12,00,33.7,-75.4,50,0
AL082002,GUSTAV,2002,09,10,18,00,35,-75.4,55,0
AL082002,GUSTAV,2002,09,11,00,00,35.5,-74.7,55,0
AL082002,GUSTAV,2002,09,11,06,00,36.8,-73,60,0
AL082002,GUSTAV,2002,09,11,12,00,38,-70.8,70,1
AL082002,GUSTAV,2002,09,11,18,00,40.3,-66.8,85,2
AL082002,GUSTAV,2002,09,12,00,00,43.1,-62.8,80,1
AL082002,GUSTAV,2002,09,12,04,00,45.3,-60.8,80,1
AL082002,GUSTAV,2002,09,12,04,30,45.6,-60.4,80,1
AL082002,GUSTAV,2002,09,12,06,00,46.5,-59.6,75,1
AL082002,GUSTAV,2002,09,12,09,00,47.6,-58.6,65,1
AL082002,GUSTAV,2002,09,12,12,00,48.6,-57.7,60,0
AL082002,GUSTAV,2002,09,12,18,00,50.1,-55.5,60,0
AL082002,GUSTAV,2002,09,13,00,00,51,-54,55,0
AL082002,GUSTAV,2002,09,13,06,00,52.5,-52.5,50,0
AL082002,GUSTAV,2002,09,13,12,00,54.5,-51.4,45,0
AL082002,GUSTAV,2002,09,13,18,00,56,-49.5,45,0
AL082002,GUSTAV,2002,09,14,00,00,57,-51.5,40,0
AL082002,GUSTAV,2002,09,14,06,00,58,-52.5,35,0
AL082002,GUSTAV,2002,09,14,12,00,59.5,-53.5,30,0
AL082002,GUSTAV,2002,09,14,18,00,61,-54,30,0
AL082002,GUSTAV,2002,09,15,00,00,62.5,-54.5,20,0
