id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL302005,EPSILON,2005,11,29,06,00,31.5,-49.2,45,0
AL302005,EPSILON,2005,11,29,12,00,31.6,-50,45,0
AL302005,EPSILON,2005,11,29,18,00,31.4,-50.8,45,0
AL302005,EPSILON,2005,11,30,00,00,31.4,-51.5,45,0
AL302005,EPSILON,2005,11,30,06,00,31.1,-52.5,50,0
AL302005,EPSILON,2005,11,30,12,00,30.8,-53.5,55,0
AL302005,EPSILON,2005,11,30,18,00,30.1,-54.2,50,0
AL302005,EPSILON,2005,12,01,00,00,29.7,-53.8,50,0
AL302005,EPSILON,2005,12,01,06,00,30,-52.7,50,0
AL302005,EPSILON,2005,12,01,12,00,30.8,-51.9,50,0
AL302005,EPSILON,2005,12,01,18,00,31.4,-51.3,55,0
AL302005,EPSILON,2005,12,02,00,00,31.9,-50.6,55,0
AL302005,EPSILON,2005,12,02,06,00,32.5,-49.8,55,0
AL302005,EPSILON,2005,12,02,12,00,33.2,-48.9,60,0
AL302005,EPSILON,2005,12,02,18,00,33.9,-47.9,65,1
AL302005,EPSILON,2005,12,03,00,00,34.3,-47.1,65,1
AL302005,EPSILON,2005,12,03,06,00,34.5,-46.2,65,1
AL302005,EPSILON,2005,12,03,12,00,34.5,-45,65,1
AL302005,EPSILON,2005,12,03,18,00,34.5,-43.7,65,1
AL302005,EPSILON,2005,12,04,00,00,34.3,-42.3,65,1
AL302005,EPSILON,2005,12,04,06,00,34.4,-41.1,65,1
AL302005,EPSILON,2005,12,04,12,00,34.3,-39.8,70,1
AL302005,EPSILON,2005,12,04,18,00,34.3,-38.8,70,1
AL302005,EPSILON,2005,12,05,00,00,34.2,-37.8,70,1
AL302005,EPSILON,2005,12,05,06,00,34,-36.7,75,1
AL302005,EPSILON,2005,12,05,12,00,33.8,-35.5,75,1
AL302005,EPSILON,2005,12,05,18,00,33.7,-34.6,70,1
AL302005,EPSILON,2005,12,06,00,00,33.4,-33.8,65,1
AL302005,EPSILON,2005,12,06,06,00,33.1,-33.7,65,1
AL302005,EPSILON,2005,12,06,12,00,32.3,-33.7,65,1
AL302005,EPSILON,2005,12,06,18,00,31.6,-34.2,65,1
AL302005,EPSILON,2005,12,07,00,00,30.8,-34.9,65,1
AL302005,EPSILON,2005,12,07,06,00,30.1,-36,65,1
AL302005,EPSILON,2005,12,07,12,00,29.4,-37.1,65,1
AL302005,EPSILON,2005,12,07,18,00,28.7,-38.1,60,0
AL302005,EPSILON,2005,12,08,00,00,28.2,-38.8,50,0
AL302005,EPSILON,2005,12,08,06,00,27.4,-39.3,35,0
AL302005,EPSILON,2005,12,08,12,00,26.5,-40,30,0
AL302005,EPSILON,2005,12,08,18,00,25.9,-40.5,30,0
AL302005,EPSILON,2005,12,09,00,00,25.5,-40.6,30,0
AL302005,EPSILON,2005,12,09,06,00,25.1,-40.4,25,0
AL302005,EPSILON,2005,12,09,12,00,24.7,-40.1,25,0
AL302005,EPSILON,2005,12,09,18,00,24.7,-39.2,25,0
