id,name,year,month,day,hour,minute,lat,lon,max_sustained_wind_kts,sshws
AL112001,IRIS,2001,10,04,12,00,12.3,-58.2,25,0
AL112001,IRIS,2001,10,04,18,00,12.8,-59.9,30,0
AL112001,IRIS,2001,10,05,00,00,13.4,-61.4,30,0
AL112001,IRIS,2001,10,05,06,00,14,-63,30,0
AL112001,IRIS,2001,10,05,12,00,14.8,-64.5,35,0
AL112001,IRIS,2001,10,05,18,00,15.5,-66,45,0
AL112001,IRIS,2001,10,06,00,00,15.7,-67.7,50,0
AL112001,IRIS,2001,10,06,06,00,16,-69,55,0
AL112001,IRIS,2001,10,06,12,00,16.5,-70.5,55,0
AL112001,IRIS,2001,10,06,18,00,16.9,-72.2,65,1
AL112001,IRIS,2001,10,07,00,00,16.9,-74,75,1
AL112001,IRIS,2001,10,07,06,00,16.9,-75.3,75,1
AL112001,IRIS,2001,10,07,12,00,17.3,-77,75,1
AL112001,IRIS,2001,10,07,18,00,17.4,-78.9,75,1
AL112001,IRIS,2001,10,08,00,00,17.3,-80.6,80,1
AL112001,IRIS,2001,10,08,06,00,17.2,-82.3,90,2
AL112001,IRIS,2001,10,08,12,00,17.1,-84,120,4
AL112001,IRIS,2001,10,08,18,00,16.8,-86,115,4
AL112001,IRIS,2001,10,09,00,00,16.5,-88,125,4
AL112001,IRIS,2001,10,09,02,00,16.3,-88.4,125,4
AL112001,IRIS,2001,10,09,06,00,16.2,-89.9,60,0
AL112001,IRIS,2001,10,09,12,00,16.2,-91.9,30,0
