storm_id	pixel_count
1	183500800
2	183500800
3	183500800
4	183500800
5	183500800
6	183500800
7	183500800
8	183500800
9	183500800
10	183500800
11	183500800
12	183500800
13	367001600
14	367001600
15	367001600
16	367001600
17	367001600
18	367001600
19	367001600
20	367001600
21	367001600
22	367001600
23	367001600
24	367001600
25	367001600
26	367001600
27	367001600
28	550502400
29	550502400
30	550502400
31	550502400
32	550502400
33	550502400
34	550502400
35	550502400
36	550502400
37	550502400
38	550502400
39	550502400
40	550502400
41	734003200
42	734003200
43	734003200
44	734003200
45	734003200
46	734003200
47	734003200
48	734003200
49	734003200
50	734003200
51	734003200
52	734003200
53	734003200
54	734003200
55	734003200
56	734003200
57	734003200
58	917504000
59	917504000
60	917504000
61	917504000
62	917504000
63	917504000
64	917504000
65	917504000
66	917504000
67	917504000
68	1101004800
69	1101004800
70	1101004800
71	1101004800
72	1101004800
73	1284505600
74	1284505600
75	1284505600
76	1284505600
77	1468006400
78	1651507200
79	1651507200
