station_id,awnd,lat,lng
RQW00011630,43,18.255,-65.6408
RQW00011641,30,18.4325,-66.0108
USC00080211,60,29.7258,-85.0206
USC00085612,71,28.1136,-80.6539
USC00086634,54,28.5083,-81.5467
USC00173570,54,44.3744,-70.3164
USC00178792,72,45.4353,-67.7214
USC00185934,152,39.7194,-76.8028
USC00274556,9,44.4911,-71.5725
USC00300364,112,40.9339,-72.7394
USC00319675,45,36.1306,-80.5481
USC00412114,31,31.3072,-95.4508
USC00413340,49,28.9844,-95.3808
USC00418862,18,30.5844,-97.4156
USC00464840,72,39.4206,-79.005
USW00003749,95,39.645,-77.4681
USW00003757,104,38.1417,-76.4292
USW00003810,61,35.7425,-81.3819
USW00003812,114,35.4319,-82.5375
USW00003813,66,32.6847,-83.6528
USW00003818,51,30.8356,-85.1839
USW00003820,61,33.3644,-81.9633
USW00003822,67,32.13,-81.21
USW00003853,62,30.4,-81.4167
USW00003855,48,30.35,-87.3167
USW00003856,47,34.6439,-86.7861
USW00003859,61,37.2958,-81.2078
USW00003866,49,32.55,-88.5667
USW00003870,49,34.8831,-82.2203
USW00003872,57,37.7836,-81.1231
USW00003878,55,31.8606,-86.0122
USW00003888,62,33.7792,-84.5214
USW00003901,38,32.3847,-94.7117
USW00003902,60,31.0667,-97.8333
USW00003904,38,30.5892,-96.3647
USW00003927,79,32.8978,-97.0189
USW00003931,28,31.05,-93.1833
USW00003933,49,31.1333,-97.7167
USW00003937,29,30.125,-93.2158
USW00003940,45,32.3206,-90.0778
USW00003949,14,31.4,-93.2833
USW00003971,47,32.6808,-96.8681
USW00003991,71,33.2061,-97.1989
USW00003996,32,32.35,-91.0278
USW00003999,48,30.7406,-98.2353
USW00004725,83,42.1997,-75.985
USW00004726,83,40.3161,-78.8339
USW00004751,84,41.8031,-78.6403
USW00004780,59,42.5519,-71.7558
USW00004781,149,40.7939,-73.1017
USW00004787,74,41.1783,-78.8989
USW00004789,116,41.5092,-74.265
USW00004836,55,47.2856,-68.3133
USW00012812,55,26.9172,-81.9914
USW00012815,61,28.4339,-81.325
USW00012816,49,29.6919,-82.2756
USW00012818,56,28.4736,-82.4544
USW00012819,53,28.8208,-81.8097
USW00012832,60,29.7333,-85.0333
USW00012833,40,29.6333,-83.1053
USW00012834,67,29.1828,-81.0483
USW00012835,55,26.585,-81.8614
USW00012836,72,24.555,-81.7522
USW00012838,71,28.1011,-80.6439
USW00012839,51,25.7906,-80.3164
USW00012841,65,28.5453,-81.3331
USW00012842,53,27.9619,-82.5403
USW00012843,62,27.6531,-80.2428
USW00012844,80,26.6847,-80.0994
USW00012849,101,26.0719,-80.1536
USW00012850,75,24.5833,-81.6833
USW00012854,63,28.7797,-81.2436
USW00012871,72,27.4014,-82.5586
USW00012873,75,27.9106,-82.6875
USW00012876,60,28.0622,-81.7542
USW00012882,67,25.9069,-80.2803
USW00012884,67,29.3331,-89.4075
USW00012885,71,26.1969,-80.1708
USW00012888,64,25.6475,-80.4331
USW00012894,50,26.5361,-81.755
USW00012895,47,27.4981,-80.3767
USW00012896,76,24.7258,-81.0517
USW00012897,57,26.1522,-81.7753
USW00012904,46,26.2281,-97.6542
USW00012912,36,28.8614,-96.9303
USW00012916,64,29.9933,-90.2511
USW00012917,38,29.9506,-94.0206
USW00012918,28,29.6381,-95.2819
USW00012919,38,25.9156,-97.4186
USW00012921,43,29.5442,-98.4839
USW00012923,53,29.2733,-94.8592
USW00012924,51,27.7839,-97.5108
USW00012926,57,27.6833,-97.2833
USW00012928,36,27.5,-97.8167
USW00012932,34,27.7411,-98.0247
USW00012935,41,28.7247,-96.2536
USW00012947,36,28.4567,-99.2183
USW00012957,50,26.1658,-97.3458
USW00012959,51,26.1839,-98.2539
USW00012960,36,29.98,-95.36
USW00012962,46,29.36,-99.1742
USW00012968,17,29.5622,-91.5256
USW00012970,28,29.3389,-98.4719
USW00012971,34,29.7036,-98.0281
USW00012972,44,28.0836,-97.0464
USW00012975,24,29.5189,-95.2417
USW00012976,37,29.1097,-95.4619
USW00012977,30,29.6222,-95.6564
USW00013701,18,39.4717,-76.1697
USW00013721,124,38.3,-76.4167
USW00013722,45,35.8922,-78.7819
USW00013723,87,36.0969,-79.9433
USW00013728,68,36.5728,-79.3361
USW00013729,20,38.8853,-79.8528
USW00013733,41,37.3208,-79.2067
USW00013734,91,39.4019,-77.9844
USW00013735,84,39.3667,-75.0667
USW00013736,38,39.6428,-79.9164
USW00013737,92,36.9033,-76.1922
USW00013739,125,39.8683,-75.2311
USW00013740,93,37.505,-77.3203
USW00013741,82,37.3169,-79.9742
USW00013743,108,38.8483,-77.0342
USW00013744,61,34.1853,-79.7239
USW00013748,78,34.2675,-77.8997
USW00013750,100,36.95,-76.2833
USW00013752,93,38.9833,-76.4667
USW00013754,93,34.9,-76.8833
USW00013762,53,36.695,-76.1356
USW00013764,82,38.6892,-75.3592
USW00013769,113,36.8167,-76.0333
USW00013773,97,38.5,-77.3
USW00013776,76,34.6081,-79.0592
USW00013781,106,39.6728,-75.6008
USW00013786,99,36.2606,-76.175
USW00013833,37,31.2819,-89.2531
USW00013837,60,33.4669,-82.0386
USW00013838,60,30.6264,-88.0681
USW00013839,63,31.3214,-85.4497
USW00013865,43,32.3347,-88.7442
USW00013869,55,31.5356,-84.1944
USW00013870,60,31.5358,-82.5067
USW00013871,42,33.5872,-85.8556
USW00013872,58,35.5953,-82.5567
USW00013873,66,33.9481,-83.3275
USW00013874,90,33.63,-84.4417
USW00013876,49,33.5656,-86.745
USW00013877,50,36.4731,-82.4044
USW00013878,55,31.1522,-81.3908
USW00013880,61,32.8986,-80.0403
USW00013881,53,35.2236,-80.9553
USW00013883,65,33.9486,-81.1186
USW00013884,51,30.7797,-86.5225
USW00013886,49,34.8461,-82.3461
USW00013889,56,30.4844,-81.7019
USW00013894,46,30.6794,-88.2397
USW00013895,54,32.2997,-86.4075
USW00013896,43,34.7442,-87.5997
USW00013899,64,30.4781,-87.1869
USW00013904,46,30.1831,-97.68
USW00013911,74,32.7667,-97.45
USW00013927,26,32.3367,-90.2214
USW00013935,12,31.3928,-92.2956
USW00013939,39,33.4825,-90.9853
USW00013942,19,32.5156,-92.0406
USW00013957,30,32.4506,-93.8411
USW00013958,29,30.3208,-97.7603
USW00013959,64,31.6189,-97.2283
USW00013960,66,32.8519,-96.8556
USW00013961,67,32.8192,-97.3614
USW00013970,25,30.5372,-91.1469
USW00013972,53,32.3542,-95.4025
USW00013973,43,30.5108,-99.7664
USW00013976,32,30.205,-91.9875
USW00013977,38,33.4536,-94.0075
USW00013978,25,33.4964,-90.0867
USW00014605,64,44.3206,-69.7972
USW00014606,61,44.7978,-68.8186
USW00014607,52,46.8706,-68.0172
USW00014609,52,46.1236,-67.7928
USW00014610,56,45.6478,-68.6925
USW00014702,110,42.47,-71.2894
USW00014707,132,41.3275,-72.0494
USW00014710,84,42.9333,-71.4383
USW00014711,89,40.1936,-76.7633
USW00014712,76,40.3667,-75.9667
USW00014719,22,40.8436,-72.6322
USW00014732,157,40.7794,-73.8803
USW00014734,152,40.6825,-74.1694
USW00014735,70,42.7431,-73.8092
USW00014736,86,40.2964,-78.3203
USW00014737,115,40.6508,-75.4492
USW00014739,139,42.3606,-71.0106
USW00014740,98,41.9381,-72.6825
USW00014745,71,43.1953,-71.5011
USW00014748,84,42.1594,-76.8919
USW00014750,71,43.35,-73.6167
USW00014751,76,40.2172,-76.8514
USW00014752,15,41.7361,-72.6506
USW00014755,331,44.2667,-71.2994
USW00014756,115,41.2531,-70.0608
USW00014757,72,41.6267,-73.8842
USW00014758,18,41.2639,-72.8872
USW00014762,75,40.3547,-79.9217
USW00014763,76,42.4272,-73.2892
USW00014764,105,43.6497,-70.3003
USW00014765,108,41.7219,-71.4325
USW00014768,99,43.1167,-77.6767
USW00014770,88,40.8206,-76.8642
USW00014771,60,43.1111,-76.1039
USW00014775,73,42.1578,-72.7161
USW00014777,71,41.3336,-75.7269
USW00014778,55,41.2433,-76.9217
USW00014787,18,41.5333,-71.2833
USW00014792,106,40.2769,-74.8158
USW00014794,13,41.3497,-71.7989
USW00022010,52,29.3783,-100.9269
USW00053819,72,33.3633,-84.5658
USW00053820,35,31.4156,-87.0442
USW00053838,76,34.2719,-83.8303
USW00053843,55,31.3089,-86.3939
USW00053847,58,30.7044,-87.0231
USW00053850,58,34.6719,-82.8864
USW00053852,53,34.6525,-86.9453
USW00053853,73,30.4,-86.4717
USW00053854,51,33.4617,-80.8581
USW00053858,41,30.4636,-88.5319
USW00053860,60,30.3361,-81.5147
USW00053861,8,31.3558,-85.7511
USW00053862,48,30.0719,-83.5736
USW00053863,73,33.875,-84.3022
USW00053864,42,33.1783,-86.7817
USW00053867,48,33.9706,-80.9958
USW00053870,31,35.1967,-81.1558
USW00053871,46,34.9869,-81.0575
USW00053872,61,35.0169,-80.6206
USW00053873,28,34.1231,-84.8486
USW00053874,33,34.2486,-82.1592
USW00053902,24,30.3567,-95.4139
USW00053903,18,30.7439,-95.5861
USW00053905,32,32.5428,-93.745
USW00053907,60,32.6636,-97.0939
USW00053909,60,32.9733,-97.3181
USW00053910,25,30.0675,-95.5561
USW00053911,51,32.71,-96.2672
USW00053912,52,32.0311,-96.3989
USW00053914,67,33.1803,-96.5903
USW00053915,40,30.0375,-91.8839
USW00053919,19,33.6361,-91.7556
USW00053925,24,34.05,-94.4008
USW00053988,10,31.15,-92.9667
USW00054704,85,42.1908,-71.1736
USW00054728,73,44.3675,-71.545
USW00054733,105,42.5842,-70.9175
USW00054734,82,41.3714,-73.4828
USW00054737,93,40.1203,-76.2944
USW00054740,52,43.3436,-72.5178
USW00054743,10,40.8764,-74.2831
USW00054756,70,42.57,-72.2911
USW00054757,68,42.1094,-77.9919
USW00054767,95,41.7419,-72.1836
USW00054768,52,42.6958,-73.1708
USW00054769,95,41.9097,-70.7294
USW00054770,35,42.805,-72.0036
USW00054772,5,43.9906,-70.9475
USW00054773,85,43.3497,-76.3847
USW00054777,71,41.8756,-71.0211
