station_id,awnd,lat,lng
RQW00011641,27,18.4325,-66.0108
USW00003810,32,35.7425,-81.3819
USW00003812,11,35.4319,-82.5375
USW00003813,57,32.6847,-83.6528
USW00003818,66,30.8356,-85.1839
USW00003820,47,33.3644,-81.9633
USW00003822,69,32.13,-81.21
USW00003856,31,34.6439,-86.7861
USW00003859,27,37.2958,-81.2078
USW00003870,46,34.8831,-82.2203
USW00003872,33,37.7836,-81.1231
USW00003878,40,31.8606,-86.0122
USW00003882,73,30.2119,-85.6828
USW00003888,47,33.7792,-84.5214
USW00003901,18,32.3847,-94.7117
USW00003904,23,30.5892,-96.3647
USW00003927,41,32.8978,-97.0189
USW00003937,22,30.125,-93.2158
USW00003940,20,32.3206,-90.0778
USW00003971,33,32.6808,-96.8681
USW00003991,32,33.2061,-97.1989
USW00003996,25,32.35,-91.0278
USW00003999,28,30.7406,-98.2353
USW00004725,36,42.1997,-75.985
USW00004726,29,40.3161,-78.8339
USW00004751,30,41.8031,-78.6403
USW00004780,31,42.5519,-71.7558
USW00004781,51,40.7939,-73.1017
USW00004787,35,41.1783,-78.8989
USW00004789,26,41.5092,-74.265
USW00004836,38,47.2856,-68.3133
USW00012812,122,26.9172,-81.9914
USW00012815,172,28.4339,-81.325
USW00012816,114,29.6919,-82.2756
USW00012818,76,28.4736,-82.4544
USW00012819,129,28.8208,-81.8097
USW00012832,72,29.7333,-85.0333
USW00012833,94,29.6333,-83.1053
USW00012834,188,29.1828,-81.0483
USW00012835,115,26.585,-81.8614
USW00012836,98,24.555,-81.7522
USW00012838,147,28.1011,-80.6439
USW00012839,99,25.7906,-80.3164
USW00012841,84,28.5453,-81.3331
USW00012842,108,27.9619,-82.5403
USW00012843,68,27.6531,-80.2428
USW00012844,174,26.6847,-80.0994
USW00012849,128,26.0719,-80.1536
USW00012854,160,28.7797,-81.2436
USW00012871,116,27.4014,-82.5586
USW00012873,118,27.9106,-82.6875
USW00012876,136,28.0622,-81.7542
USW00012882,130,25.9069,-80.2803
USW00012884,37,29.3331,-89.4075
USW00012885,54,26.1969,-80.1708
USW00012888,114,25.6475,-80.4331
USW00012894,107,26.5361,-81.755
USW00012895,54,27.4981,-80.3767
USW00012896,89,24.7258,-81.0517
USW00012897,127,26.1522,-81.7753
USW00012904,32,26.2281,-97.6542
USW00012912,31,28.8614,-96.9303
USW00012916,35,29.9933,-90.2511
USW00012917,19,29.9506,-94.0206
USW00012918,26,29.6381,-95.2819
USW00012919,28,25.9156,-97.4186
USW00012921,36,29.5442,-98.4839
USW00012923,35,29.2733,-94.8592
USW00012924,35,27.7839,-97.5108
USW00012932,29,27.7411,-98.0247
USW00012935,32,28.7247,-96.2536
USW00012947,30,28.4567,-99.2183
USW00012957,43,26.1658,-97.3458
USW00012959,36,26.1839,-98.2539
USW00012960,32,29.98,-95.36
USW00012962,30,29.36,-99.1742
USW00012968,13,29.5622,-91.5256
USW00012970,26,29.3389,-98.4719
USW00012971,25,29.7036,-98.0281
USW00012972,31,28.0836,-97.0464
USW00012975,20,29.5189,-95.2417
USW00012976,21,29.1097,-95.4619
USW00012977,25,29.6222,-95.6564
USW00013722,37,35.8922,-78.7819
USW00013723,47,36.0969,-79.9433
USW00013728,33,36.5728,-79.3361
USW00013729,14,38.8853,-79.8528
USW00013733,24,37.3208,-79.2067
USW00013734,25,39.4019,-77.9844
USW00013735,44,39.3667,-75.0667
USW00013736,25,39.6428,-79.9164
USW00013737,71,36.9033,-76.1922
USW00013739,45,39.8683,-75.2311
USW00013740,42,37.505,-77.3203
USW00013741,36,37.3169,-79.9742
USW00013743,47,38.8483,-77.0342
USW00013744,47,34.1853,-79.7239
USW00013748,41,34.2675,-77.8997
USW00013752,33,38.9833,-76.4667
USW00013764,51,38.6892,-75.3592
USW00013776,41,34.6081,-79.0592
USW00013781,42,39.6728,-75.6008
USW00013786,55,36.2606,-76.175
USW00013833,18,31.2819,-89.2531
USW00013837,57,33.4669,-82.0386
USW00013838,42,30.6264,-88.0681
USW00013839,57,31.3214,-85.4497
USW00013865,25,32.3347,-88.7442
USW00013869,63,31.5356,-84.1944
