station_id,awnd,lat,lng
RQW00011641,25,18.4325,-66.0108
USW00003810,18,35.7425,-81.3819
USW00003812,40,35.4319,-82.5375
USW00003813,34,32.6847,-83.6528
USW00003818,31,30.8356,-85.1839
USW00003820,30,33.3644,-81.9633
USW00003822,21,32.13,-81.21
USW00003856,31,34.6439,-86.7861
USW00003870,30,34.8831,-82.2203
USW00003872,13,37.7836,-81.1231
USW00003882,45,30.2119,-85.6828
USW00003888,19,33.7792,-84.5214
USW00003901,16,32.3847,-94.7117
USW00003904,21,30.5892,-96.3647
USW00003927,16,32.8978,-97.0189
USW00003937,42,30.125,-93.2158
USW00003940,32,32.3206,-90.0778
USW00003971,22,32.6808,-96.8681
USW00003991,17,33.2061,-97.1989
USW00003996,33,32.35,-91.0278
USW00003999,9,30.7406,-98.2353
USW00004725,25,42.1997,-75.985
USW00004751,30,41.8031,-78.6403
USW00004780,8,42.5519,-71.7558
USW00004781,24,40.7939,-73.1017
USW00004789,8,41.5092,-74.265
USW00004836,35,47.2856,-68.3133
USW00012812,22,26.9172,-81.9914
USW00012815,22,28.4339,-81.325
USW00012816,14,29.6919,-82.2756
USW00012818,20,28.4736,-82.4544
USW00012819,14,28.8208,-81.8097
USW00012832,30,29.7333,-85.0333
USW00012833,19,29.6333,-83.1053
USW00012834,16,29.1828,-81.0483
USW00012835,25,26.585,-81.8614
USW00012836,28,24.555,-81.7522
USW00012839,27,25.7906,-80.3164
USW00012841,23,28.5453,-81.3331
USW00012842,23,27.9619,-82.5403
USW00012843,29,27.6531,-80.2428
USW00012844,27,26.6847,-80.0994
USW00012849,28,26.0719,-80.1536
USW00012854,14,28.7797,-81.2436
USW00012871,25,27.4014,-82.5586
USW00012873,30,27.9106,-82.6875
USW00012882,28,25.9069,-80.2803
USW00012885,28,26.1969,-80.1708
USW00012888,21,25.6475,-80.4331
USW00012894,12,26.5361,-81.755
USW00012895,16,27.4981,-80.3767
USW00012896,25,24.7258,-81.0517
USW00012904,56,26.2281,-97.6542
USW00012912,35,28.8614,-96.9303
USW00012916,66,29.9933,-90.2511
USW00012917,50,29.9506,-94.0206
USW00012918,42,29.6381,-95.2819
USW00012919,55,25.9156,-97.4186
USW00012921,18,29.5442,-98.4839
USW00012923,68,29.2733,-94.8592
USW00012924,39,27.7839,-97.5108
USW00012957,64,26.1658,-97.3458
USW00012959,38,26.1839,-98.2539
USW00012960,25,29.98,-95.36
USW00012962,21,29.36,-99.1742
USW00012968,33,29.5622,-91.5256
USW00012970,16,29.3389,-98.4719
USW00012971,30,29.7036,-98.0281
USW00012972,37,28.0836,-97.0464
USW00012975,30,29.5189,-95.2417
USW00012976,32,29.1097,-95.4619
USW00013722,25,35.8922,-78.7819
USW00013723,28,36.0969,-79.9433
USW00013729,9,38.8853,-79.8528
USW00013733,7,37.3208,-79.2067
USW00013735,18,39.3667,-75.0667
USW00013736,15,39.6428,-79.9164
USW00013737,36,36.9033,-76.1922
USW00013739,25,39.8683,-75.2311
USW00013740,29,37.505,-77.3203
USW00013741,14,37.3169,-79.9742
USW00013743,28,38.8483,-77.0342
USW00013744,29,34.1853,-79.7239
USW00013748,25,34.2675,-77.8997
USW00013764,13,38.6892,-75.3592
USW00013776,28,34.6081,-79.0592
USW00013781,25,39.6728,-75.6008
USW00013786,38,36.2606,-76.175
USW00013837,32,33.4669,-82.0386
USW00013838,57,30.6264,-88.0681
USW00013865,31,32.3347,-88.7442
USW00013871,25,33.5872,-85.8556
USW00013873,21,33.9481,-83.3275
USW00013874,36,33.63,-84.4417
USW00013876,27,33.5656,-86.745
USW00013877,14,36.4731,-82.4044
USW00013880,31,32.8986,-80.0403
USW00013881,32,35.2236,-80.9553
USW00013883,25,33.9486,-81.1186
USW00013884,31,30.7797,-86.5225
USW00013886,26,34.8461,-82.3461
USW00013889,18,30.4844,-81.7019
USW00013894,47,30.6794,-88.2397
USW00013895,25,32.2997,-86.4075
USW00013896,21,34.7442,-87.5997
USW00013899,48,30.4781,-87.1869
USW00013904,16,30.1831,-97.68
USW00013935,16,31.3928,-92.2956
USW00013942,20,32.5156,-92.0406
USW00013957,28,32.4506,-93.8411
USW00013958,14,30.3208,-97.7603
USW00013959,19,31.6189,-97.2283
USW00013960,10,32.8519,-96.8556
USW00013961,16,32.8192,-97.3614
USW00013970,25,30.5372,-91.1469
USW00013972,16,32.3542,-95.4025
USW00013973,9,30.5108,-99.7664
USW00013976,48,30.205,-91.9875
USW00013977,16,33.4536,-94.0075
USW00013978,20,33.4964,-90.0867
USW00014606,24,44.7978,-68.8186
USW00014607,27,46.8706,-68.0172
USW00014610,11,45.6478,-68.6925
USW00014702,20,42.47,-71.2894
USW00014710,17,42.9333,-71.4383
USW00014711,24,40.1936,-76.7633
USW00014712,16,40.3667,-75.9667
USW00014719,27,40.8436,-72.6322
USW00014732,36,40.7794,-73.8803
USW00014734,32,40.6825,-74.1694
USW00014735,10,42.7431,-73.8092
USW00014736,19,40.2964,-78.3203
USW00014737,13,40.6508,-75.4492
USW00014739,45,42.3606,-71.0106
USW00014740,12,41.9381,-72.6825
USW00014745,10,43.1953,-71.5011
USW00014748,22,42.1594,-76.8919
USW00014752,11,41.7361,-72.6506
USW00014756,59,41.2531,-70.0608
USW00014762,26,40.3547,-79.9217
USW00014763,11,42.4272,-73.2892
USW00014764,21,43.6497,-70.3003
USW00014765,29,41.7219,-71.4325
USW00014768,42,43.1167,-77.6767
USW00014770,6,40.8206,-76.8642
USW00014771,42,43.1111,-76.1039
USW00014775,14,42.1578,-72.7161
USW00014777,13,41.3336,-75.7269
USW00014778,12,41.2433,-76.9217
USW00014787,45,41.5333,-71.2833
USW00014792,20,40.2769,-74.8158
USW00014794,29,41.3497,-71.7989
USW00022010,14,29.3783,-100.9269
USW00053819,13,33.3633,-84.5658
USW00053820,26,31.4156,-87.0442
USW00053838,21,34.2719,-83.8303
USW00053852,28,34.6525,-86.9453
USW00053853,56,30.4,-86.4717
USW00053854,24,33.4617,-80.8581
USW00053858,41,30.4636,-88.5319
USW00053860,14,30.3361,-81.5147
USW00053862,26,30.0719,-83.5736
USW00053863,26,33.875,-84.3022
USW00053864,20,33.1783,-86.7817
USW00053865,36,30.3433,-89.8222
USW00053867,0,33.9706,-80.9958
USW00053870,30,35.1967,-81.1558
USW00053871,30,34.9869,-81.0575
USW00053872,37,35.0169,-80.6206
USW00053902,15,30.3567,-95.4139
USW00053903,12,30.7439,-95.5861
USW00053905,14,32.5428,-93.745
USW00053907,10,32.6636,-97.0939
USW00053909,6,32.9733,-97.3181
USW00053910,23,30.0675,-95.5561
USW00053911,9,32.71,-96.2672
USW00053912,23,32.0311,-96.3989
USW00053914,10,33.1803,-96.5903
USW00053915,51,30.0375,-91.8839
USW00053917,86,30.0494,-90.0289
USW00053919,14,33.6361,-91.7556
USW00054704,19,42.1908,-71.1736
USW00054728,1,44.3675,-71.545
USW00054733,31,42.5842,-70.9175
USW00054734,11,41.3714,-73.4828
USW00054737,20,40.1203,-76.2944
USW00054740,0,43.3436,-72.5178
USW00054742,0,44.42,-72.0194
USW00054743,5,40.8764,-74.2831
USW00054756,9,42.57,-72.2911
USW00054767,8,41.7419,-72.1836
USW00054768,15,42.6958,-73.1708
USW00054769,23,41.9097,-70.7294
USW00054770,4,42.805,-72.0036
USW00054772,1,43.9906,-70.9475
USW00054773,36,43.3497,-76.3847
USW00054777,24,41.8756,-71.0211
USW00054778,0,42.6425,-77.0564
USW00054779,4,41.0089,-74.7367
USW00054781,6,42.8914,-73.2469
USW00054782,5,40.2383,-75.5572
USW00054785,9,40.6239,-74.6694
USW00054786,16,40.33,-75.1225
USW00054787,21,40.7342,-73.4169
USW00054788,8,41.5097,-72.8278
USW00054789,0,41.1389,-75.3794
USW00054790,19,40.8217,-72.8689
USW00092805,30,26.25,-80.1083
USW00092806,29,27.7628,-82.6261
USW00093706,16,39.7078,-77.7297
USW00093718,21,33.8117,-78.7239
USW00093719,22,35.0678,-77.0481
USW00093721,14,39.1667,-76.6833
USW00093729,34,35.2325,-75.6219
USW00093730,23,39.4494,-74.5672
USW00093736,4,38.1386,-78.453
USW00093738,17,38.9408,-77.4636
USW00093739,28,37.9406,-75.4631
USW00093740,36,34.9914,-78.8803
USW00093773,11,36.9839,-77.0075
USW00093775,15,37.7081,-77.4344
USW00093778,15,39.9181,-76.8742
USW00093780,13,39.9492,-74.8417
USW00093781,24,36.4394,-77.7097
USW00093782,31,34.7917,-79.3661
USW00093783,25,36.0467,-79.4769
USW00093785,21,35.9333,-79.0642
USW00093786,30,38.3083,-75.1239
USW00093801,29,34.3478,-85.1611
USW00093805,23,30.3975,-84.3289
USW00093806,13,33.2119,-87.6161
USW00093807,26,36.1336,-80.2222
USW00093842,23,32.5161,-84.9422
USW00093846,23,34.4978,-82.7097
USW00093862,31,34.2622,-88.7714
USW00093874,48,30.4119,-89.0808
USW00093915,27,31.3347,-92.5586
USW00093987,23,31.2361,-94.7544
USW00094623,11,43.9636,-69.7117
USW00094624,19,41.6875,-69.9933
USW00094626,30,45.4622,-69.5953
USW00094700,8,44.5761,-71.1786
USW00094702,26,41.1583,-73.1289
USW00094720,34,41.6686,-70.28
USW00094723,15,42.7172,-71.1239
USW00094724,46,41.3931,-70.615
USW00094726,34,41.6764,-70.9583
USW00094728,16,40.7789,-73.9692
USW00094732,22,40.0819,-75.0111
USW00094741,19,40.85,-74.0614
USW00094746,28,42.2706,-71.8731
USW00094765,4,43.6264,-72.3047
USW00094789,27,40.6386,-73.7622
VQW00011640,59,18.3331,-64.9667
