station_id,awnd,lat,lng
RQW00011641,20,18.4325,-66.0108
USW00003749,20,39.645,-77.4681
USW00003757,17,38.1417,-76.4292
USW00003810,19,35.7425,-81.3819
USW00003812,11,35.4319,-82.5375
USW00003813,3,32.6847,-83.6528
USW00003818,8,30.8356,-85.1839
USW00003820,4,33.3644,-81.9633
USW00003822,18,32.13,-81.21
USW00003853,47,30.4,-81.4167
USW00003855,20,30.35,-87.3167
USW00003856,12,34.6439,-86.7861
USW00003859,16,37.2958,-81.2078
USW00003866,8,32.55,-88.5667
USW00003870,20,34.8831,-82.2203
USW00003872,8,37.7836,-81.1231
USW00003878,3,31.8606,-86.0122
USW00003882,20,30.2119,-85.6828
USW00003888,8,33.7792,-84.5214
USW00003901,15,32.3847,-94.7117
USW00003902,28,31.0667,-97.8333
USW00003904,14,30.5892,-96.3647
USW00003927,29,32.8978,-97.0189
USW00003931,9,31.05,-93.1833
USW00003933,22,31.1333,-97.7167
USW00003937,5,30.125,-93.2158
USW00003940,12,32.3206,-90.0778
USW00003949,3,31.4,-93.2833
USW00003971,10,32.6808,-96.8681
USW00003991,23,33.2061,-97.1989
USW00003996,11,32.35,-91.0278
USW00004725,26,42.1997,-75.985
USW00004751,14,41.8031,-78.6403
USW00004780,24,42.5519,-71.7558
USW00004781,27,40.7939,-73.1017
USW00004787,16,41.1783,-78.8989
USW00004789,18,41.5092,-74.265
USW00004836,62,47.2856,-68.3133
USW00012812,24,26.9172,-81.9914
USW00012815,39,28.4339,-81.325
USW00012816,25,29.6919,-82.2756
USW00012818,18,28.4736,-82.4544
USW00012819,30,28.8208,-81.8097
USW00012832,25,29.7333,-85.0333
USW00012833,16,29.6333,-83.1053
USW00012834,42,29.1828,-81.0483
USW00012835,23,26.585,-81.8614
USW00012836,18,24.555,-81.7522
USW00012839,20,25.7906,-80.3164
USW00012841,37,28.5453,-81.3331
USW00012842,25,27.9619,-82.5403
USW00012843,34,27.6531,-80.2428
USW00012844,32,26.6847,-80.0994
USW00012849,23,26.0719,-80.1536
USW00012850,16,24.5833,-81.6833
USW00012854,36,28.7797,-81.2436
USW00012871,30,27.4014,-82.5586
USW00012873,32,27.9106,-82.6875
USW00012876,29,28.0622,-81.7542
USW00012882,20,25.9069,-80.2803
USW00012884,11,29.3331,-89.4075
USW00012885,21,26.1969,-80.1708
USW00012888,17,25.6475,-80.4331
USW00012894,22,26.5361,-81.755
USW00012895,23,27.4981,-80.3767
USW00012896,12,24.7258,-81.0517
USW00012897,23,26.1522,-81.7753
USW00012904,46,26.2281,-97.6542
USW00012912,19,28.8614,-96.9303
USW00012916,13,29.9933,-90.2511
USW00012917,9,29.9506,-94.0206
USW00012918,11,29.6381,-95.2819
USW00012919,32,25.9156,-97.4186
USW00012921,31,29.5442,-98.4839
USW00012923,24,29.2733,-94.8592
USW00012924,39,27.7839,-97.5108
USW00012926,47,27.6833,-97.2833
USW00012928,36,27.5,-97.8167
USW00012932,32,27.7411,-98.0247
USW00012935,26,28.7247,-96.2536
USW00012946,41,27.7,-97.4333
USW00012947,30,28.4567,-99.2183
USW00012957,43,26.1658,-97.3458
USW00012958,7,29.8167,-90.0167
USW00012959,46,26.1839,-98.2539
USW00012960,15,29.98,-95.36
USW00012962,13,29.36,-99.1742
USW00012968,7,29.5622,-91.5256
USW00012970,30,29.3389,-98.4719
USW00012971,22,29.7036,-98.0281
USW00012972,37,28.0836,-97.0464
USW00012975,9,29.5189,-95.2417
USW00012976,15,29.1097,-95.4619
USW00012977,12,29.6222,-95.6564
