station_id,awnd,lat,lng
RQW00011630,46,18.255,-65.6408
RQW00011641,53,18.4325,-66.0108
USC00086634,0,28.5083,-81.5467
USC00173570,0,44.3744,-70.3164
USC00178792,9,45.4353,-67.7214
USC00185934,76,39.7194,-76.8028
USC00274556,0,44.4911,-71.5725
USC00300364,0,40.9339,-72.7394
USC00311975,31,35.4111,-80.5833
USC00319675,13,36.1306,-80.5481
USC00412114,4,31.3072,-95.4508
USC00413340,22,28.9844,-95.3808
USC00418862,0,30.5844,-97.4156
USC00464840,22,39.4206,-79.005
USW00003757,38,38.1417,-76.4292
USW00003810,27,35.7425,-81.3819
USW00003812,58,35.4319,-82.5375
USW00003813,15,32.6847,-83.6528
USW00003818,22,30.8356,-85.1839
USW00003820,17,33.3644,-81.9633
USW00003822,27,32.13,-81.21
USW00003853,30,30.4,-81.4167
USW00003855,29,30.35,-87.3167
USW00003856,39,34.6439,-86.7861
USW00003859,26,37.2958,-81.2078
USW00003866,26,32.55,-88.5667
USW00003870,27,34.8831,-82.2203
USW00003872,37,37.7836,-81.1231
USW00003878,20,31.8606,-86.0122
USW00003888,24,33.7792,-84.5214
USW00003901,24,32.3847,-94.7117
USW00003904,18,30.5892,-96.3647
USW00003927,32,32.8978,-97.0189
USW00003931,23,31.05,-93.1833
USW00003933,21,31.1333,-97.7167
USW00003937,38,30.125,-93.2158
USW00003940,30,32.3206,-90.0778
USW00003949,20,31.4,-93.2833
USW00003971,22,32.6808,-96.8681
USW00003991,26,33.2061,-97.1989
USW00003996,25,32.35,-91.0278
USW00003999,24,30.7406,-98.2353
USW00004725,42,42.1997,-75.985
USW00004726,57,40.3161,-78.8339
USW00004751,43,41.8031,-78.6403
USW00004780,23,42.5519,-71.7558
USW00004781,55,40.7939,-73.1017
USW00004787,44,41.1783,-78.8989
USW00004789,27,41.5092,-74.265
USW00004836,22,47.2856,-68.3133
USW00012812,31,26.9172,-81.9914
USW00012815,31,28.4339,-81.325
USW00012816,26,29.6919,-82.2756
USW00012818,20,28.4736,-82.4544
USW00012819,23,28.8208,-81.8097
USW00012832,29,29.7333,-85.0333
USW00012833,16,29.6333,-83.1053
USW00012834,26,29.1828,-81.0483
USW00012835,30,26.585,-81.8614
USW00012836,21,24.555,-81.7522
USW00012838,39,28.1011,-80.6439
USW00012839,21,25.7906,-80.3164
USW00012841,32,28.5453,-81.3331
USW00012842,35,27.9619,-82.5403
USW00012843,23,27.6531,-80.2428
USW00012844,26,26.6847,-80.0994
USW00012849,26,26.0719,-80.1536
USW00012850,22,24.5833,-81.6833
USW00012854,31,28.7797,-81.2436
USW00012871,34,27.4014,-82.5586
USW00012873,34,27.9106,-82.6875
USW00012876,27,28.0622,-81.7542
USW00012882,22,25.9069,-80.2803
USW00012884,23,29.3331,-89.4075
USW00012885,18,26.1969,-80.1708
USW00012888,16,25.6475,-80.4331
USW00012894,30,26.5361,-81.755
USW00012895,21,27.4981,-80.3767
USW00012896,21,24.7258,-81.0517
USW00012897,29,26.1522,-81.7753
USW00012904,34,26.2281,-97.6542
USW00012912,25,28.8614,-96.9303
USW00012916,41,29.9933,-90.2511
USW00012917,29,29.9506,-94.0206
USW00012918,28,29.6381,-95.2819
USW00012919,27,25.9156,-97.4186
USW00012921,27,29.5442,-98.4839
