station_id,awnd,lat,lng
RQW00011641,27,18.4325,-66.0108
USW00003749,46,39.645,-77.4681
USW00003757,17,38.1417,-76.4292
USW00003810,15,35.7425,-81.3819
USW00003812,27,35.4319,-82.5375
USW00003813,27,32.6847,-83.6528
USW00003818,14,30.8356,-85.1839
USW00003820,33,33.3644,-81.9633
USW00003822,27,32.13,-81.21
USW00003853,17,30.4,-81.4167
USW00003855,18,30.35,-87.3167
USW00003856,21,34.6439,-86.7861
USW00003859,37,37.2958,-81.2078
USW00003866,16,32.55,-88.5667
USW00003870,15,34.8831,-82.2203
USW00003872,31,37.7836,-81.1231
USW00003878,20,31.8606,-86.0122
USW00003882,23,30.2119,-85.6828
USW00003888,22,33.7792,-84.5214
USW00003901,17,32.3847,-94.7117
USW00003902,39,31.0667,-97.8333
USW00003904,35,30.5892,-96.3647
USW00003927,39,32.8978,-97.0189
USW00003931,11,31.05,-93.1833
USW00003933,29,31.1333,-97.7167
USW00003937,17,30.125,-93.2158
USW00003940,15,32.3206,-90.0778
USW00003949,5,31.4,-93.2833
USW00003971,38,32.6808,-96.8681
USW00003991,34,33.2061,-97.1989
USW00003996,16,32.35,-91.0278
USW00004725,39,42.1997,-75.985
USW00004726,49,40.3161,-78.8339
USW00004751,32,41.8031,-78.6403
USW00004780,30,42.5519,-71.7558
USW00004781,35,40.7939,-73.1017
USW00004787,54,41.1783,-78.8989
USW00004789,29,41.5092,-74.265
USW00004836,39,47.2856,-68.3133
USW00012812,36,26.9172,-81.9914
USW00012815,21,28.4339,-81.325
USW00012816,20,29.6919,-82.2756
USW00012818,14,28.4736,-82.4544
USW00012819,30,28.8208,-81.8097
USW00012832,31,29.7333,-85.0333
USW00012833,15,29.6333,-83.1053
USW00012834,17,29.1828,-81.0483
USW00012835,39,26.585,-81.8614
USW00012836,55,24.555,-81.7522
USW00012839,34,25.7906,-80.3164
USW00012841,21,28.5453,-81.3331
USW00012842,39,27.9619,-82.5403
USW00012843,30,27.6531,-80.2428
USW00012844,41,26.6847,-80.0994
USW00012849,47,26.0719,-80.1536
USW00012850,60,24.5833,-81.6833
USW00012854,24,28.7797,-81.2436
USW00012871,27,27.4014,-82.5586
USW00012873,25,27.9106,-82.6875
USW00012876,28,28.0622,-81.7542
USW00012882,43,25.9069,-80.2803
USW00012884,19,29.3331,-89.4075
USW00012885,34,26.1969,-80.1708
USW00012888,45,25.6475,-80.4331
USW00012894,34,26.5361,-81.755
USW00012895,16,27.4981,-80.3767
USW00012896,50,24.7258,-81.0517
USW00012897,34,26.1522,-81.7753
USW00012904,53,26.2281,-97.6542
USW00012912,42,28.8614,-96.9303
USW00012916,18,29.9933,-90.2511
USW00012917,27,29.9506,-94.0206
USW00012918,23,29.6381,-95.2819
USW00012919,41,25.9156,-97.4186
USW00012921,44,29.5442,-98.4839
USW00012924,60,27.7839,-97.5108
USW00012926,62,27.6833,-97.2833
USW00012928,43,27.5,-97.8167
USW00012932,40,27.7411,-98.0247
USW00012935,51,28.7247,-96.2536
USW00012946,49,27.7,-97.4333
USW00012947,40,28.4567,-99.2183
USW00012957,50,26.1658,-97.3458
USW00012958,15,29.8167,-90.0167
USW00012959,47,26.1839,-98.2539
USW00012960,33,29.98,-95.36
USW00012962,47,29.36,-99.1742
USW00012968,7,29.5622,-91.5256
