station_id,awnd,lat,lng
RQW00011641,27,18.4325,-66.0108
USW00003749,22,39.645,-77.4681
USW00003757,21,38.1417,-76.4292
USW00003810,34,35.7425,-81.3819
USW00003812,22,35.4319,-82.5375
USW00003813,36,32.6847,-83.6528
USW00003818,48,30.8356,-85.1839
USW00003820,40,33.3644,-81.9633
USW00003822,50,32.13,-81.21
USW00003853,51,30.4,-81.4167
USW00003855,112,30.35,-87.3167
USW00003856,54,34.6439,-86.7861
USW00003859,36,37.2958,-81.2078
USW00003866,53,32.55,-88.5667
USW00003870,43,34.8831,-82.2203
USW00003872,40,37.7836,-81.1231
USW00003878,51,31.8606,-86.0122
USW00003882,52,30.2119,-85.6828
USW00003888,41,33.7792,-84.5214
USW00003901,43,32.3847,-94.7117
USW00003902,34,31.0667,-97.8333
USW00003904,50,30.5892,-96.3647
USW00003927,34,32.8978,-97.0189
USW00003931,75,31.05,-93.1833
USW00003933,26,31.1333,-97.7167
USW00003937,82,30.125,-93.2158
USW00003940,59,32.3206,-90.0778
USW00003949,10,31.4,-93.2833
USW00003971,32,32.6808,-96.8681
USW00003991,27,33.2061,-97.1989
USW00003996,80,32.35,-91.0278
USW00004725,33,42.1997,-75.985
USW00004726,25,40.3161,-78.8339
USW00004751,21,41.8031,-78.6403
USW00004780,40,42.5519,-71.7558
USW00004781,42,40.7939,-73.1017
USW00004787,28,41.1783,-78.8989
USW00004789,13,41.5092,-74.265
USW00004836,64,47.2856,-68.3133
USW00012812,43,26.9172,-81.9914
USW00012815,41,28.4339,-81.325
USW00012816,32,29.6919,-82.2756
USW00012818,42,28.4736,-82.4544
USW00012819,38,28.8208,-81.8097
USW00012832,62,29.7333,-85.0333
USW00012833,26,29.6333,-83.1053
USW00012834,37,29.1828,-81.0483
USW00012835,44,26.585,-81.8614
USW00012836,77,24.555,-81.7522
USW00012839,62,25.7906,-80.3164
USW00012841,42,28.5453,-81.3331
USW00012842,32,27.9619,-82.5403
USW00012843,49,27.6531,-80.2428
USW00012844,69,26.6847,-80.0994
USW00012849,69,26.0719,-80.1536
USW00012850,73,24.5833,-81.6833
USW00012854,40,28.7797,-81.2436
USW00012871,54,27.4014,-82.5586
USW00012873,51,27.9106,-82.6875
USW00012876,45,28.0622,-81.7542
USW00012882,59,25.9069,-80.2803
USW00012884,40,29.3331,-89.4075
USW00012885,66,26.1969,-80.1708
USW00012888,57,25.6475,-80.4331
USW00012894,51,26.5361,-81.755
USW00012895,53,27.4981,-80.3767
USW00012896,57,24.7258,-81.0517
USW00012897,50,26.1522,-81.7753
USW00012904,33,26.2281,-97.6542
USW00012912,31,28.8614,-96.9303
USW00012916,132,29.9933,-90.2511
USW00012917,68,29.9506,-94.0206
USW00012918,55,29.6381,-95.2819
USW00012919,29,25.9156,-97.4186
USW00012921,32,29.5442,-98.4839
USW00012923,72,29.2733,-94.8592
USW00012924,37,27.7839,-97.5108
USW00012926,44,27.6833,-97.2833
USW00012928,33,27.5,-97.8167
USW00012932,31,27.7411,-98.0247
USW00012935,42,28.7247,-96.2536
USW00012946,36,27.7,-97.4333
USW00012947,20,28.4567,-99.2183
USW00012957,31,26.1658,-97.3458
USW00012958,132,29.8167,-90.0167
USW00012959,30,26.1839,-98.2539
USW00012960,50,29.98,-95.36
USW00012962,26,29.36,-99.1742
USW00012968,9,29.5622,-91.5256
USW00012970,20,29.3389,-98.4719
USW00012971,34,29.7036,-98.0281
USW00012972,41,28.0836,-97.0464
USW00012975,43,29.5189,-95.2417
USW00012976,31,29.1097,-95.4619
USW00012977,41,29.6222,-95.6564
USW00013721,37,38.3,-76.4167
USW00013722,26,35.8922,-78.7819
USW00013723,39,36.0969,-79.9433
USW00013728,32,36.5728,-79.3361
USW00013729,12,38.8853,-79.8528
USW00013733,38,37.3208,-79.2067
USW00013734,19,39.4019,-77.9844
USW00013735,25,39.3667,-75.0667
USW00013736,23,39.6428,-79.9164
USW00013737,51,36.9033,-76.1922
USW00013739,39,39.8683,-75.2311
USW00013740,31,37.505,-77.3203
USW00013741,27,37.3169,-79.9742
USW00013743,40,38.8483,-77.0342
USW00013744,36,34.1853,-79.7239
USW00013748,38,34.2675,-77.8997
USW00013750,50,36.95,-76.2833
USW00013752,26,38.9833,-76.4667
USW00013754,38,34.9,-76.8833
USW00013762,26,36.695,-76.1356
USW00013764,34,38.6892,-75.3592
USW00013769,52,36.8167,-76.0333
USW00013773,43,38.5,-77.3
USW00013781,36,39.6728,-75.6008
USW00013786,45,36.2606,-76.175
USW00013833,76,31.2819,-89.2531
USW00013837,41,33.4669,-82.0386
USW00013838,111,30.6264,-88.0681
USW00013839,53,31.3214,-85.4497
USW00013865,56,32.3347,-88.7442
USW00013869,51,31.5356,-84.1944
USW00013870,34,31.5358,-82.5067
USW00013871,42,33.5872,-85.8556
USW00013873,36,33.9481,-83.3275
USW00013874,56,33.63,-84.4417
USW00013876,52,33.5656,-86.745
USW00013877,11,36.4731,-82.4044
USW00013878,52,31.1522,-81.3908
USW00013880,46,32.8986,-80.0403
USW00013881,51,35.2236,-80.9553
USW00013883,41,33.9486,-81.1186
USW00013884,43,30.7797,-86.5225
USW00013886,46,34.8461,-82.3461
USW00013889,47,30.4844,-81.7019
USW00013894,92,30.6794,-88.2397
USW00013895,67,32.2997,-86.4075
USW00013896,46,34.7442,-87.5997
USW00013899,88,30.4781,-87.1869
USW00013904,36,30.1831,-97.68
USW00013911,24,32.7667,-97.45
USW00013927,65,32.3367,-90.2214
USW00013935,13,31.3928,-92.2956
USW00013939,51,33.4825,-90.9853
USW00013942,79,32.5156,-92.0406
USW00013957,69,32.4506,-93.8411
USW00013958,17,30.3208,-97.7603
USW00013959,35,31.6189,-97.2283
USW00013960,34,32.8519,-96.8556
USW00013961,32,32.8192,-97.3614
USW00013970,118,30.5372,-91.1469
USW00013972,46,32.3542,-95.4025
USW00013973,20,30.5108,-99.7664
USW00013976,110,30.205,-91.9875
USW00013977,45,33.4536,-94.0075
USW00013978,60,33.4964,-90.0867
USW00014605,47,44.3206,-69.7972
USW00014606,57,44.7978,-68.8186
USW00014607,51,46.8706,-68.0172
USW00014609,51,46.1236,-67.7928
USW00014611,45,43.9,-69.9333
USW00014702,29,42.47,-71.2894
USW00014707,41,41.3275,-72.0494
USW00014710,41,42.9333,-71.4383
USW00014711,17,40.1936,-76.7633
USW00014712,19,40.3667,-75.9667
USW00014719,38,40.8436,-72.6322
USW00014732,44,40.7794,-73.8803
